cmc_id,symbol,name,picked_chainid,picked_address,reachable,n_platforms,platforms
2071,REQ,Request,1,0x8f8221afbb33998d8584a2b05749ba73c37a938a,True,2,Ethereum:0x8f8221afbb33998d8584a2b05749ba73c37a938a | Polygon:0xb25e20de2f2ebb4cffd4d16a55c7b395e8a94762
2081,AMB,AirDAO,1,0xf4fb9bf10e489ea3edb03e094939341399587b0c,True,2,Ethereum:0xf4fb9bf10e489ea3edb03e094939341399587b0c | Solana:AMB4mArTRxZG7jCLqhxWziDeZGxzT59WPrQWvgpZPe8d
2096,RCN,Ripio Credit Network,1,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,True,1,Ethereum:0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6
2099,ICX,ICON,,,False,0,
2110,DOV,Dovu,1,0xac3211a5025414af2866ff09c23fc18bc97e79b1,True,2,Ethereum:0xac3211a5025414af2866ff09c23fc18bc97e79b1 | BNB Smart Chain (BEP20):0xc9457161320210D22F0D0d5fC1309Acb383d4609
2112,PHB,Phoenix Global,,,False,1,Neo:1578103c13e39df15d0d29826d957e85d770d8c9
2120,FUEL,Etherparty,1,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,True,1,Ethereum:0xea38eaa3c86c8f9b751533ba2e562deb9acded40
2165,ERC20,ERC20,1,0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA,True,6,Ethereum:0xc3761EB917CD790B30dAD99f6Cc5b4Ff93C4F9eA | BNB Smart Chain (BEP20):0x8dCD1db7A6e0653eDd71bf38481989437a130ea0 | Solana:7sAiTVEQK9VPjsWHoPt45oPXUbBP5Z8XVfjiSjZ6Vdhb | Polygon:0x00bfc2651672cb741bd462da1d9ba653b42e24bb | Avalanche C-Chain:0xb6f5964816999c1bf8a282a38c81e69fe8a9211f | Arbitru
2176,HST,Decision Token,1,0x554c20b7c486beee439277b4540a434566dc4c02,True,1,Ethereum:0x554c20b7c486beee439277b4540a434566dc4c02
2202,PRL,Oyster,1,0x1844b21593262668b7248d0f57a220caaba46ab9,True,1,Ethereum:0x1844b21593262668b7248d0f57a220caaba46ab9
2223,VEE,BLOCKv,1,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,True,3,Ethereum:0x340d2bde5eb28c1eed91b2f790723e3b160613b7 | Polygon:0xf1c1a3c2481a3a8a3f173a9ab5ade275292a6fa3 | Base:0xeFc2689D3E79252fBA37E889a1b5aD92cEDC6e4F
2239,LEND,Aave,1,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,True,1,Ethereum:0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
2242,QBT,Qbao,,,False,0,
2273,UQC,Uquid Coin,1,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2,True,1,Ethereum:0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2
2277,SMT,SmartMesh,1,0x55f93985431fc9304077687a35a1ba103dc1e081,True,1,Ethereum:0x55f93985431fc9304077687a35a1ba103dc1e081
2296,OST,OST,1,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,True,1,Ethereum:0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca
2308,SAI,Single Collateral DAI ,1,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,True,1,Ethereum:0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
2318,NEU,Neumark,1,0xa823e6722006afe99e91c30ff5295052fe6b8e32,True,1,Ethereum:0xa823e6722006afe99e91c30ff5295052fe6b8e32
2320,UTK,xMoney,1,0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c,True,2,Ethereum:0xdc9Ac3C20D1ed0B540dF9b1feDC10039Df13F99c | MultiversX:UTK-2f80e9
2324,ONE,BigONE Token,1,0x946551dd05c5abd7cc808927480225ce36d8c475,True,3,Ethereum:0x946551dd05c5abd7cc808927480225ce36d8c475 | BNB Smart Chain (BEP20):0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0 | HECO:0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0
2341,SWFTC,SwftCoin,1,0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,True,2,Ethereum:0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e | BNB Smart Chain (BEP20):0xe64e30276c2f826febd3784958d6da7b55dfbad3
2363,ZAP,Zap,1,0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,True,3,Ethereum:0x6781a0f84c7e9e846dcb84a9a5bd49333067b104 | BNB Smart Chain (BEP20):0xc5326b32e8baef125acd68f8bc646fd646104f1c | Solana:HxPoEHMt1vKeqjKCePcqTj6yYgn6Xqq1fKTY3Pjx4YrX
2377,LEV,Leverj,1,0x0f4ca92660efad97a9a70cb0fe969c755439772c,True,1,Ethereum:0x0f4ca92660efad97a9a70cb0fe969c755439772c
2410,SPC,SpaceChain,1,0x86ed939b500e121c0c5f493f399084db596dad20,True,1,Ethereum:0x86ed939b500e121c0c5f493f399084db596dad20
2424,AGIX,SingularityNET,1,0x5B7533812759B45C2B44C19e320ba2cD2681b542,True,2,Ethereum:0x5B7533812759B45C2B44C19e320ba2cD2681b542 | Cardano:f43a62fdc3965df486de8a0d32fe800963589c41b38946602a0dc53541474958
2429,MOBI,Mobius,,,False,1,Stellar:MOBI-GA6HCMBLTZS5VYYBCATRBRZ3BZJMAFUDKYYF6AH6MVCMGWMRDNSWJPIH
2430,HOT,Hydro Protocol,1,0x9af839687f6c94542ac5ece2e317daae355493a1,True,1,Ethereum:0x9af839687f6c94542ac5ece2e317daae355493a1
2496,POLY,Polymath,1,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,True,1,Ethereum:0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
2505,BLZ,Bluzelle,1,0x5732046a883704404f284ce41ffadd5b007fd668,True,2,Ethereum:0x5732046a883704404f284ce41ffadd5b007fd668 | BNB Smart Chain (BEP20):0x935a544bf5816e3a7c13db2efe3009ffda0acda2
2530,FSN,Fusion,1,0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605,True,2,Ethereum:0x9AfC975EdB8a0B57f066e8e0A72A5e2ADbdCb605 | Fusion Network:0x2b8bb627ce7c0c9cbe579e83099de665032d08be
2538,NEC,Nectar,1,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,True,1,Ethereum:0xcc80c051057b774cd75067dc48f8987c4eb97a5e
2545,ABT,ArcBlock,1,0xb98d4c97425d9908e66e53a6fdf673acca0be986,True,1,Ethereum:0xb98d4c97425d9908e66e53a6fdf673acca0be986
2559,AUTO,Cube,1,0x622dFfCc4e83C64ba959530A5a5580687a57581b,True,1,Ethereum:0x622dFfCc4e83C64ba959530A5a5580687a57581b
2576,TEN,Tokenomy,1,0xdd16ec0f66e54d453e6756713e533355989040e4,True,2,Ethereum:0xdd16ec0f66e54d453e6756713e533355989040e4 | Base:0x4FB9B20DaFE45d91ae287f2E07B2e79709308178
2586,SNX,Synthetix,1,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,True,9,Ethereum:0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f | BNB Smart Chain (BEP20):0x9ac983826058b8a9c7aa1c9171441191232e8404 | Solana:8cTNUtcV2ueC3royJ642uRnvTxorJAWLZc58gxAo7y56 | HECO:0x777850281719d5a96c29812ab72f822e0e09f3da | Fantom:0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc | Polygon:0x50b728d8d96
2593,DRG,Dragon Coins,1,0x814f67fa286f7572b041d041b1d99b432c9155ee,True,1,Ethereum:0x814f67fa286f7572b041d041b1d99b432c9155ee
