cmc_id,symbol,name,chainid,address,verified,contract,is_proxy,ch1,ch1_event,ch1_logs,ch1_firstblock,ch3,ch3_event,ch3_logs,ch3_firstblock,ch2
5007,TROY,TROY,1,0x4574562e9310a94f9ca962bd23168d8a06875b1a,True,TROY,0,-,,,,-,,,,Transfer(universal)
5015,HEX,HEX,1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,True,HEX,0,GENUINE,"StakeStart(uint256,address,uint40)",1000,9046425,-,,,,Transfer(universal)
5113,SURE,inSure DeFi,1,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,True,TokenERC20,0,-,,,,-,,,,Transfer(universal)
5117,OGN,Origin Protocol,1,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,True,OriginToken,0,-,,,,-,,,,Transfer(universal)
5190,FLEX,FLEX,1,0xfcf8eda095e37a41e002e266daad7efc1579bc0a,True,FLEXCoin,0,-,,,,-,,,,Transfer(universal)
5266,MLK,MiL.k,42161,0x374c5FB7979d5fDBAAd2d95409e235e5CBdfD43C,True,Token,0,-,,,,-,,,,Transfer(universal)
5274,EDG,Edgeware,56,0x4e0da40b9063dc48364c1c0ffb4ae9d091fc2270,True,Edgeware,0,-,,,,ERC20Votes-ABIonly [getLogs needs PAID plan on this chain],"DelegateVotesChanged(address,uint256,uint256)",,,Transfer(universal)
5279,SOLO,Sologenic,56,0xc2c28b58db223da89b567a0a98197fc17c115148,True,BEP20Token,0,-,,,,-,,,,Transfer(universal)
5299,HDAO,HyperDAO,1,0x74faab6986560fd1140508e4266d8a7b87274ffd,True,HDAOToken,0,-,,,,-,,,,Transfer(universal)
5354,PEAK,PEAKDEFI,1,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,True,TokenProxy->impl:PEAKDEFI_V2,1,-,,,,ERC20Votes,"DelegateVotesChanged(address,uint256,uint256)",94,13957640,Transfer(universal)
5410,PRQ,PARSIQ,1,0x362bc847A3a9637d3af6624EeC853618a43ed7D2,True,ParsiqToken,0,-,,,,-,,,,Transfer(universal)
5429,DEP,DEAPcoin,1,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,True,DEAPCoin,0,-,,,,-,,,,Transfer(universal)
5566,KEEP,Keep Network,1,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,True,KeepToken,0,-,,,,-,,,,Transfer(universal)
5601,STAKE,STAKE,1,0x0Ae055097C6d159879521C384F1D2123D1f195e6,True,ERC677MultiBridgeToken,0,-,,,,-,,,,Transfer(universal)
5617,UMA,UMA,1,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,True,VotingToken,0,-,,,,-,,,,Transfer(universal)
5631,ORN,Orion,1,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,True,OrionToken,0,-,,,,-,,,,Transfer(universal)
5690,RENDER,Render,1,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,True,AdminUpgradeabilityProxy->impl:RenderToken,1,-,,,,-,,,,Transfer(universal)
