cohort,project,month,pq_usd,tvl_usd,turnover
LENDING,radiant,2023-12,339193334.5830243,304457939.0,1.1140893080243321
LENDING,radiant,2024-01,731897361.3296694,235270101.0,3.110881315640143
LENDING,radiant,2024-02,536605674.9838907,287051255.0,1.869372335556905
LENDING,radiant,2024-03,355027733.39170814,223985936.0,1.585044756523053
LENDING,radiant,2024-04,251371973.3445365,169252799.0,1.4851865069867265
LENDING,radiant,2024-05,106688886.25129418,121497340.0,0.8781170538490323
LENDING,radiant,2024-06,151779724.3499583,99738910.0,1.5217704339255191
LENDING,radiant,2024-07,143605205.8297872,94604521.0,1.5179528875769817
LENDING,radiant,2024-08,116468576.98841782,103972329.0,1.1201882088109985
LENDING,radiant,2024-09,101660769.19767565,86805140.0,1.1711376676274659
LENDING,radiant,2024-10,27229435.22151073,23861622.0,1.1411393249591637
LENDING,radiant,2024-11,2295982.4854566543,3187902.0,0.7202173986078162
LENDING,radiant,2024-12,1887192.8955479795,4315926.0,0.4372625701988355
LENDING,radiant,2025-01,1300361.4469969668,4143536.0,0.31382892461824075
LENDING,radiant,2025-02,739236.7984684586,2160265.0,0.34219727601403466
LENDING,radiant,2025-03,1544736.6195865395,1708623.0,0.9040827728448813
LENDING,radiant,2025-04,563010.7522377139,1601124.0,0.3516346967740874
LENDING,radiant,2025-05,1596935.8577341828,3652743.0,0.43718812348259456
LENDING,radiant,2025-06,924991.7844781851,3496685.0,0.2645339184050565
LENDING,radiant,2025-07,812756.7187218448,3993028.0,0.20354395679715867
LENDING,radiant,2025-08,1696282.3076668074,4143165.0,0.40941702965409477
LENDING,radiant,2025-09,1221093.0548527543,3768994.0,0.3239838150054774
LENDING,radiant,2025-10,7500921.997547939,5714293.0,1.3126596759298026
LENDING,radiant,2025-11,6136811.821549006,7127561.0,0.8609974466088759
LENDING,radiant,2025-12,2453210.791128549,5285062.0,0.46417824258798646
LENDING,radiant,2026-01,113471.43450768132,3869574.0,0.029324012025013946
LENDING,radiant,2026-02,1161454.2675007815,2171301.0,0.5349116808313455
LENDING,radiant,2026-03,602029.7025878542,1896045.0,0.31751867840048853
LENDING,radiant,2026-04,203354.01765933807,1492225.0,0.1362757075235558
LENDING,radiant,2026-05,181954.79248590293,1004146.0,0.18120352268086806
LENDING,radiant,2026-06,107.18262603899998,597207.0,0.00017947315761369172
LENDING,seamlessprotocol,2023-09,264939.95285212476,1735317.0,0.15267524772253413
LENDING,seamlessprotocol,2023-10,5457532.165613632,2246850.0,2.428970409957777
LENDING,seamlessprotocol,2023-11,1490898.7506168836,4140307.0,0.36009376855795566
LENDING,seamlessprotocol,2023-12,1189071.9328788235,86168772.0,0.013799337106473138
LENDING,seamlessprotocol,2024-01,23017271.032211635,59406264.0,0.3874552864023167
LENDING,seamlessprotocol,2024-02,19262314.813841403,17836525.0,1.0799365242860592
LENDING,seamlessprotocol,2024-03,27700004.652456943,15160725.0,1.8270897105815813
LENDING,seamlessprotocol,2024-04,41080902.54381925,22274787.0,1.8442781313158796
LENDING,seamlessprotocol,2024-05,42235320.32568178,25813745.0,1.6361562541848067
LENDING,seamlessprotocol,2024-06,55902026.69989541,31222020.0,1.7904679677962994
LENDING,seamlessprotocol,2024-07,28261999.364700068,33723705.0,0.8380455043329335
LENDING,seamlessprotocol,2024-08,40092487.14759267,27658674.0,1.4495448027476903
LENDING,seamlessprotocol,2024-09,56222484.406708606,21609207.0,2.6017837862679833
LENDING,seamlessprotocol,2024-10,23303933.187886517,17103123.0,1.3625542649659081
LENDING,seamlessprotocol,2024-11,29789494.941646542,21790053.0,1.3671143866261612
LENDING,seamlessprotocol,2024-12,14398470.443792975,17445121.0,0.8253580152177205
LENDING,seamlessprotocol,2025-01,20186395.236388873,34755362.0,0.5808138392110223
LENDING,seamlessprotocol,2025-02,14593404.735833606,66464808.0,0.21956589020513842
LENDING,seamlessprotocol,2025-03,4161476.756599094,71590960.0,0.05812852288332345
LENDING,seamlessprotocol,2025-04,644237.6975997692,86112469.0,0.007481352062960467
LENDING,sonne_finance,2022-10,112766110.08312067,18846241.0,5.983480211418323
LENDING,sonne_finance,2022-11,95240926.4494401,20984212.0,4.5386944455879545
LENDING,sonne_finance,2022-12,45287741851.22702,13496724.0,3355.4618032662606
LENDING,sonne_finance,2023-01,134775732.5593654,14687157.0,9.17643438817774
LENDING,sonne_finance,2023-02,872371054.1435543,40549693.0,21.513629070966193
LENDING,sonne_finance,2023-03,210915524.64478788,40284530.0,5.2356456596313246
LENDING,sonne_finance,2023-04,74493639.46728447,37659311.0,1.9780935309008831
LENDING,sonne_finance,2023-05,41229080.33629923,29670928.0,1.3895446861756138
LENDING,sonne_finance,2023-06,77887378.01840526,33993274.0,2.2912585006788477
LENDING,sonne_finance,2023-07,83471622.64722416,39780764.0,2.0982910898147695
LENDING,sonne_finance,2023-08,138777608.32871777,32391207.0,4.28442226091537
LENDING,sonne_finance,2023-09,82366691.51356517,36508025.0,2.256125646719185
LENDING,sonne_finance,2023-10,60804349.004724324,37976145.0,1.6011195713710362
LENDING,sonne_finance,2023-11,64474207.42142646,36671557.0,1.7581529854711775
LENDING,sonne_finance,2023-12,52776476.971710205,47518008.0,1.1106626559705577
LENDING,sonne_finance,2024-01,65399329.40570699,37015619.0,1.7668036135153375
LENDING,sonne_finance,2024-02,48118310.81396747,41681244.0,1.1544355733232785
LENDING,sonne_finance,2024-03,57569924.83996962,42167024.0,1.3652830904066082
LENDING,sonne_finance,2024-04,60682785.671811536,25992.0,2334.6716555790836
LENDING,sonne_finance,2024-05,36575958.608293146,29201.0,1252.5584263653006
LENDING,sonne_finance,2024-06,645811.76553184,20123.0,32.09321500431546
LENDING,sonne_finance,2024-07,174278.58034338846,22116.0,7.880203488125722
LENDING,sonne_finance,2024-08,38260.998450907675,372037.0,0.10284191747301391
LENDING,sonne_finance,2024-09,95739.22020172041,394961.0,0.24240170599558036
LENDING,sonne_finance,2024-10,121807.04160332891,382307.0,0.3186105449372596
LENDING,sonne_finance,2024-11,92901.11277557357,558342.0,0.16638747000149293
LENDING,sonne_finance,2024-12,141923.25544615407,501982.0,0.28272578587709135
LENDING,sonne_finance,2025-01,91964.96311154714,493767.0,0.18625174041915954
LENDING,sonne_finance,2025-02,30530.939043128186,327506.0,0.0932225334593204
LENDING,sonne_finance,2025-03,39646.87266159877,273554.0,0.14493252762379188
LENDING,sonne_finance,2025-04,11610.207227683293,205079.0,0.0566133403599749
LENDING,sonne_finance,2025-05,773.4371958696426,275099.0,0.002811486758838246
LENDING,sonne_finance,2025-06,921.5194054158508,277846.0,0.003316655288958095
LENDING,sonne_finance,2025-07,441.4362482911414,393802.0,0.0011209598942898752
LENDING,sonne_finance,2025-08,1023.559237400919,471160.0,0.002172423884457337
LENDING,sonne_finance,2025-09,5061.450045969865,433387.0,0.011678822959548543
LENDING,sonne_finance,2025-10,5306.816588547261,403345.0,0.013157015925689573
LENDING,sonne_finance,2025-11,16485.643307487255,309999.0,0.05317966608759143
LENDING,sonne_finance,2025-12,1768.4867890763405,300077.0,0.00589344331313743
LENDING,sonne_finance,2026-01,21481.268354348646,232654.0,0.09233139492271203
LENDING,sonne_finance,2026-02,9672.363445134875,131728.0,0.07342678432174538
LENDING,sonne_finance,2026-03,249.57157190325805,139044.0,0.0017949107613651654
LENDING,sonne_finance,2026-04,3647.8802008143502,151408.0,0.024093047928870008
LENDING,sonne_finance,2026-05,5432.738185757858,135481.0,0.040099631577548575
LENDING,spark,2023-05,5189976.602997713,10756027.0,0.4825179969330416
LENDING,spark,2023-06,9816209.726631464,22614638.0,0.43406441998458983
LENDING,spark,2023-07,21413033.494050484,56032036.0,0.38215697702026186
LENDING,spark,2023-08,432522514.1489162,425331598.0,1.0169066116477812
LENDING,spark,2023-09,144475627.7001132,423378834.0,0.34124433272947513
LENDING,spark,2023-10,225059197.38616672,585004839.0,0.38471339445820674
LENDING,spark,2023-11,592740561.8941541,1039491346.0,0.5702217379442753
LENDING,spark,2023-12,548156746.6831685,1642166515.0,0.33380095238585994
LENDING,spark,2024-01,514501250.89754945,2101955072.0,0.2447727155309766
LENDING,spark,2024-02,736245637.5205673,3522870492.0,0.2089902649536761
LENDING,spark,2024-03,1181419602.2939587,3059666819.0,0.38612687988036737
LENDING,spark,2024-04,456921885.6299512,2211072936.0,0.20665165684518658
LENDING,spark,2024-05,484991613.375126,2808003074.0,0.17271762195197868
LENDING,spark,2024-06,709507103.5090622,3232250454.0,0.2195087025607893
LENDING,spark,2024-07,812701181.975094,2960051017.0,0.27455647801596456
LENDING,spark,2024-08,466680949.9812227,2391884841.0,0.1951101248612423
LENDING,spark,2024-09,247143737.1488224,2342354761.0,0.1055108053074384
LENDING,spark,2024-10,793102310.1810551,2853449212.0,0.2779451293002565
LENDING,spark,2024-11,1598118183.5214884,4585216630.0,0.3485371166686815
LENDING,spark,2024-12,2285209455.300978,3815611414.0,0.5989104254474741
LENDING,spark,2025-01,754403916.240783,3485229870.0,0.2164574344821574
LENDING,spark,2025-02,680163063.9045956,2706308369.0,0.2513250417785615
LENDING,spark,2025-03,464759057.6105192,2234248225.0,0.20801585625541638
LENDING,spark,2025-04,490523982.17710716,3567476638.49887,0.13749886316943363
LENDING,spark,2025-05,632004929.125756,5473448830.12797,0.11546740432594484
LENDING,spark,2025-06,778608360.5565271,5956247738.36815,0.1307212854060776
LENDING,spark,2025-07,1398037197.835956,6504693901.52649,0.21492743840073267
LENDING,spark,2025-08,1604510698.9742162,6787800046.84905,0.2363815504139729
LENDING,spark,2025-09,3638995244.51361,7606417339.32884,0.47841119967192075
LENDING,spark,2025-10,4853906357.895736,8465706189.765511,0.573361069837717
LENDING,spark,2025-11,3219110674.0594335,6470819032.08831,0.4974811778997532
LENDING,spark,2025-12,894182774.9819225,6014967433.03083,0.14865962034500332
LENDING,spark,2026-01,975535133.298555,4493919880.14238,0.21707888865781189
