cmc_id,symbol,dl_slug,status,n_months,ym_start,ym_end,note
14519,VVS,vvs-finance,200,55,2021-11,2026-05,ok
35509,VVV,venice,200,1,2026-05,2026-05,ok
29587,W,portal,200,57,2021-09,2026-05,ok
36119,WAL,walrus-protocol,200,0,,,empty series
1166,WARP,polkastarter,200,54,2021-12,2026-05,ok
13502,WLD,worldcoin,200,0,,,empty series
7501,WOO,woofi-swap,200,52,2022-02,2026-05,ok
4090,WXT,nereus-finance,200,52,2022-02,2026-05,ok
28933,XAI,chain:Xai,200,28,2024-02,2026-05,ok
7288,XVS,venus,200,67,2020-11,2026-05,ok
5864,YFI,yearn,200,76,2020-02,2026-05,ok
5957,YFII,yfii,200,62,2021-04,2026-05,ok
10688,YGG,yield-guild-games,200,0,,,empty series
27765,ZBU,zeebu,200,18,2024-12,2026-05,ok
24091,ZK,zksync-era,200,0,,,empty series
8202,ZKB,zkswap,200,64,2021-02,2026-05,ok
29779,ZKJ,polyhedra-network,200,0,,,empty series
26997,ZRO,layerzero-v2,200,1,2026-05,2026-05,ok
1896,ZRX,0x-aggregator,200,0,,,empty series
