cmc_id,symbol,dl_slug,dl_category,tvl_present,tvl_start,tvl_end,tvl_last_usd,tvl_status,fees_present,fees_start,fees_end,fees_30d,fees_status,rev_present,rev_start,rev_end,rev_30d,dex_present,dex_start,dex_end,dex_30d,dex_status,deriv_present,deriv_status,opt_present,opt_status,opt_start,opt_end,bridge_vol,apy_present,apy_npools,apy_tvl_usd,apy_wmean_pct
5906,NVT,nerve-staking,Dexs,Y,2021-06-24,2026-06-22,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
10529,SUN,sun.io,Dexs,Y,2021-07-26,2026-06-25,778278.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
4279,SXP,swipe,Dexs,Y,2021-03-22,2026-06-25,15666.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
7127,VELO,velo-finance,Dexs,Y,2024-08-13,2026-06-25,56439.0,200,Y,2024-05-31,2026-06-24,110.0,200,Y,2024-05-31,2026-06-24,110.0,N,,,,400,,,,,,,,N,0,,
13855,ENS,ens,Domains,N,,,,200,Y,2023-02-23,2026-06-24,133857.0,200,Y,2023-02-23,2026-06-24,133857.0,N,,,,400,,,,,,,,N,0,,
14803,AURORA,aurora-plus,Farm,Y,2022-09-03,2026-06-25,1551457.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
10903,C98,coin98,Farm,Y,2025-04-03,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
23054,CHEEL,cheelee,Farm,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
24257,LGCT,legacy-network,Farm,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
28301,MEME,memecoin,Farm,N,,,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
3835,ORBS,orbs,Farm,Y,2024-12-25,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
35509,VVV,venice,Farm,Y,2026-05-19,2026-06-25,,200,Y,2025-12-07,2026-06-24,243897.0,200,Y,2025-12-07,2026-06-24,243897.0,N,,,,400,,,,,,,,N,0,,
27765,ZBU,zeebu,Farm,Y,2024-12-19,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,Y,2,1644036.0,3770.13
1552,MLN,enzyme-finance,Indexes,Y,2021-03-19,2026-06-25,72952622.0,200,Y,2026-01-04,2026-06-24,8614.0,200,Y,2026-01-04,2026-06-24,8614.0,N,,,,400,,,,,,,,N,0,,
8602,AUCTION,bounce-finance,Launchpad,Y,2023-08-09,2026-06-25,6064.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
34812,BIO,bio-protocol,Launchpad,Y,2025-10-16,2026-06-25,4070659.0,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
13523,MC,merit-circle,Launchpad,Y,2021-12-18,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
21870,MPLX,metaplex,Launchpad,N,,,,200,Y,2023-05-31,2026-06-23,103863.0,200,Y,2023-05-31,2026-06-23,103863.0,N,,,,400,,,,,,,,N,0,,
8972,SFUND,seedify,Launchpad,Y,2022-03-04,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
1166,WARP,polkastarter,Launchpad,Y,2021-12-21,2026-06-25,,200,N,,,,400,N,,,,N,,,,400,,,,,,,,N,0,,
