spec,var,coef,se,t,p,n,n_assets
token_prev_gl_ln_s4_TVLGL_matched,beta36_std,0.0008375664205563135,0.007259668726549437,0.11537254000216807,0.9081769332212462,915,33
token_prev_gl_ln_s4_TVLGL_matched,val_std,-0.004686309402895524,0.005909206337690244,-0.7930522535666408,0.42796738893556086,915,33
token_prev_gl_ln_s4_TVLGL_matched,conv_x_val,-0.010189273556784593,0.012787951692475267,-0.7967869915226691,0.4257959449186739,915,33
token_pf_gl_ln_s4,conv_std,0.010426789088079777,0.006971434184193124,1.4956447715910808,0.13504933272960118,1104,41
token_pf_gl_ln_s4,size_std,0.003370657834559898,0.005094779400743607,0.6615905360039601,0.5083800827816396,1104,41
token_pf_gl_ln_s4,mom_3m_std,-0.003654708481154271,0.009514511810345587,-0.38411939088459907,0.7009684055384355,1104,41
token_pf_gl_ln_s4,mom_12_2_std,-0.00012159571928223335,0.003652981218218488,-0.03328670803884779,0.9734523343284915,1104,41
token_pf_gl_ln_s4,r_1m_std,-0.017126243815916622,0.007191603202022494,-2.381422241302219,0.017424886245247295,1104,41
token_pf_gl_ln_s4,beta36_std,-0.0013214631513123163,0.007638028865612386,-0.17301101823033851,0.8626763994086089,1104,41
token_pf_gl_ln_s4,pf_gl_ln_std,0.0001994058256615334,0.005336568852884917,0.037365923903284005,0.9702004064719785,1104,41
token_pf_gl_ln_s4,conv_x_fee,0.0059720246921209615,0.00817336303804187,0.7306692073171029,0.46514563865050307,1104,41
token_pf_gl_ln_s5_cheap,conv_std,0.012182669755136575,0.010005624820888232,1.217582107386581,0.22395483570581587,563,30
token_pf_gl_ln_s5_cheap,size_std,0.005207147806104794,0.005495724820446898,0.9474906361271126,0.34384469224552094,563,30
token_pf_gl_ln_s5_cheap,mom_3m_std,-0.0019467951058772363,0.007220022710868133,-0.2696383631794912,0.7875492826159631,563,30
token_pf_gl_ln_s5_cheap,mom_12_2_std,-0.0006396723111198135,0.007261789240718661,-0.0880874244508518,0.9298423193407042,563,30
token_pf_gl_ln_s5_cheap,r_1m_std,-0.018639951959168954,0.010082432977566686,-1.8487553550460156,0.06508094581821089,563,30
token_pf_gl_ln_s5_cheap,beta36_std,-0.002422749363664995,0.010080581524980547,-0.24033825406413448,0.8101661555393405,563,30
token_pf_gl_ln_s5_expensive,conv_std,-0.0010332754666919923,0.010724775887912888,-0.09634471409855022,0.9232870109611313,541,31
token_pf_gl_ln_s5_expensive,size_std,4.816298798699544e-05,0.006835949725650254,0.007045544499292532,0.9943814425187276,541,31
token_pf_gl_ln_s5_expensive,mom_3m_std,-0.005433292251856412,0.015229124340612842,-0.35676983983688243,0.7214208984536106,541,31
token_pf_gl_ln_s5_expensive,mom_12_2_std,0.009507742427410119,0.0078766211145394,1.2070838864979607,0.22799434030693244,541,31
token_pf_gl_ln_s5_expensive,r_1m_std,-0.015184021217973319,0.012186295494038038,-1.2459915505414976,0.2133752911419009,541,31
token_pf_gl_ln_s5_expensive,beta36_std,-0.0005558683366516556,0.010860101330442656,-0.05118445212785123,0.9591998337068894,541,31
token_pf_gl_ln_s5_diff,conv_std,0.010443488951308467,0.00989633245681325,1.0552888150113147,0.291538104989161,1104,41
token_pf_gl_ln_s5_diff,high_fee,-0.002543117889253281,0.009371731182683527,-0.2713605245050443,0.7861675609204757,1104,41
token_pf_gl_ln_s5_diff,conv_x_highfee,-0.005394352622634587,0.015071406274467429,-0.3579196608728673,0.7204759955183544,1104,41
token_pf_gl_ln_s5_diff,size_std,0.003284247314039186,0.004672433656481006,0.7028986510025018,0.48227606663480604,1104,41
token_pf_gl_ln_s5_diff,mom_3m_std,-0.0033600284519795685,0.00951751057760462,-0.3530364820277641,0.724132562961973,1104,41
token_pf_gl_ln_s5_diff,mom_12_2_std,0.001002998502298286,0.0040644163409194614,0.24677553138451006,0.8051306029679992,1104,41
token_pf_gl_ln_s5_diff,r_1m_std,-0.016852224016667496,0.007390209531378449,-2.280344548434496,0.022788740222654535,1104,41
token_pf_gl_ln_s5_diff,beta36_std,-0.0012891420883084461,0.007652591176655766,-0.16845824617431215,0.8662555123603566,1104,41
token_pf_gl_ln_s4_TVLGL_matched,conv_std,0.009668733517954805,0.0063818906202894555,1.5150265169408799,0.13006925030111116,1104,41
token_pf_gl_ln_s4_TVLGL_matched,size_std,0.0020376039567613752,0.0049395786734749095,0.41250561868831526,0.6800537998538121,1104,41
