portfolio,period,alpha,alpha_t,b_cmkt,b_csmb,b_cmom,n,r2
t3_ew_Lending_net25bps,full,-0.004213196274020372,-0.19750331630077467,0.1366431499501773,-0.34319665504195096,0.025961351540870575,34,0.07532267443694196
t3_ew_Lending_net50bps,full,-0.0049215624961560815,-0.23095883550765342,0.13625000949718763,-0.3445821130756263,0.024778245951158274,34,0.07532222715422598
coin_t3_ew,full,0.002350040373140126,0.16333173391008368,0.058283597228926926,-0.16763401608882988,0.20243737771385464,40,0.10668136067746414
coin_t3_ew,post2023,0.002350040373140126,0.16333173391008368,0.058283597228926926,-0.16763401608882988,0.20243737771385464,40,0.10668136067746414
coin_t3_ew_net25bps,full,0.0018398801500913824,0.12789742906320473,0.05854527184200463,-0.16848703653799824,0.20244784283919917,40,0.10714764515682329
coin_t3_ew_net50bps,full,0.0013297199270426371,0.09244859078322017,0.05880694645508236,-0.16934005698716662,0.20245830796454373,40,0.10761429734153793
rev_ls,full,-0.04676945193099019,-3.021285529955124,0.06658970133836983,0.006478351485531445,0.0838454779193074,50,0.016670839622075828
rev_ls,post2023,-0.03121404849254904,-1.7913573678524435,-0.03981057338611655,0.19728659631041667,0.050360323545500414,40,0.02556020001035464
mom3_ls,full,0.013468924170182504,1.2144090781507384,-0.01773669233175007,0.4674873058781084,0.00782007813768448,50,0.18133703899170472
mom3_ls,post2023,0.005770304763204077,0.5076642458121556,-0.053046355301172965,0.43459498365190985,0.05751623618747043,40,0.18298791117828728
high52_ls,full,-0.021656475627103152,-1.2595831346233062,0.05005886787779287,0.1874322586795578,0.031684001101805456,47,0.016248329939160255
high52_ls,post2023,-0.006116966809454713,-0.3083456936733981,-0.0726132469140199,0.37577979825129815,0.09518756482637185,37,0.08094570515927924
size_ls,full,-0.003478730811674214,-0.22791317218595356,-0.1165311224860163,-0.178589290789676,-0.06004267193753973,50,0.04925807912979174
size_ls,post2023,-0.008891048842583734,-0.5972721735507669,-0.1492396491572791,-0.17681855867392354,-0.05542584397850444,40,0.10118214602918352
