spec,var,coef,se,t,p,n,r2_within
token_s3,val_std,0.0041338530378357,0.005268532595533783,0.7846308175714868,0.4327436029034162,2592,0.005536140024567482
token_s4,conv_std,0.006086716188910192,0.004151224897822776,1.4662458283343158,0.1427057992080527,2592,0.005676112862953886
token_s4,size_std,-0.0021719649790649,0.00614008883377011,-0.35373510674947023,0.7235669311627788,2592,0.005676112862953886
token_s4,mom_3m_std,-0.002669893648278742,0.00512953998722146,-0.5204937781808686,0.6027650799051982,2592,0.005676112862953886
token_s4,mom_12_2_std,-0.0009134289006643222,0.004698022952853957,-0.19442836057440546,0.8458561198066539,2592,0.005676112862953886
token_s4,r_1m_std,-0.014845529198808481,0.0063945109881458325,-2.3216050807214463,0.020333387133911973,2592,0.005676112862953886
token_s4,beta36_std,0.0065702375495258186,0.007541411161509632,0.8712212354976009,0.3837161591771734,2592,0.005676112862953886
token_s4,val_std,0.004179008318004103,0.005289143120941726,0.7901106516588333,0.4295373147090209,2592,0.005676112862953886
token_s4,conv_x_val,0.0034044188217699878,0.004306164327958285,0.7905919427334421,0.4292563667929985,2592,0.005676112862953886
token_s5_low,conv_std,0.0016981927448355989,0.0060796468532684795,0.2793242413286938,0.7800422125381203,1314,0.004323118424417682
token_s5_low,size_std,0.0009496793951169598,0.005105836965934722,0.18599876992803718,0.8524759041886845,1314,0.004323118424417682
token_s5_low,mom_3m_std,0.00823899685303818,0.010207361566847295,0.8071622425718505,0.41972657121690315,1314,0.004323118424417682
token_s5_low,mom_12_2_std,-0.002112835123406835,0.003709182160168666,-0.5696229066600382,0.5690358378027738,1314,0.004323118424417682
token_s5_low,r_1m_std,-0.016367988113515693,0.006563572032274201,-2.4937622430334443,0.012768163667681076,1314,0.004323118424417682
token_s5_low,beta36_std,0.0020726191123732916,0.006616226108410065,0.3132630412583284,0.754133087824794,1314,0.004323118424417682
token_s5_high,conv_std,0.004137971391890386,0.0036730906094186023,1.1265639299176908,0.2601495314852391,1278,0.002245985518499749
token_s5_high,size_std,-0.014187446485931971,0.012494156365094192,-1.135526567089271,0.2563788842729644,1278,0.002245985518499749
token_s5_high,mom_3m_std,-0.010484253067189307,0.005303298196858909,-1.976930709534498,0.048275439542137644,1278,0.002245985518499749
token_s5_high,mom_12_2_std,0.006030199432260207,0.007425524290223797,0.8120907287582873,0.41689877814767007,1278,0.002245985518499749
token_s5_high,r_1m_std,-0.012543178466627081,0.00843524731943997,-1.4869959340397674,0.1372755492492157,1278,0.002245985518499749
token_s5_high,beta36_std,0.005895646053911535,0.009671082845720378,0.609615918709709,0.5422303402047066,1278,0.002245985518499749
token_s5_diff,conv_std,0.002751990598250415,0.00671359194135279,0.40991329563826434,0.681904311883152,2592,0.005880649698196017
token_s5_diff,high_val,-0.001824195354994673,0.008922243055697315,-0.20445479276983267,0.8380145872808542,2592,0.005880649698196017
token_s5_diff,conv_x_high,0.004833074719334506,0.007491581341738757,0.6451341177339168,0.5188988645796804,2592,0.005880649698196017
token_s5_diff,size_std,-0.004167591523291806,0.006192966202749452,-0.6729556381950779,0.5010370725385829,2592,0.005880649698196017
token_s5_diff,mom_3m_std,-0.002224717392661354,0.005001246984232225,-0.4448325386999229,0.6564788897214373,2592,0.005880649698196017
token_s5_diff,mom_12_2_std,-0.0003043776645427803,0.004735410880763054,-0.06427692806537064,0.948754810163754,2592,0.005880649698196017
token_s5_diff,r_1m_std,-0.014443286174149986,0.006368699191853178,-2.267854979337978,0.023422158773195534,2592,0.005880649698196017
token_s5_diff,beta36_std,0.005950594622764371,0.00737317450609967,0.807060055047059,0.4197078672282828,2592,0.005880649698196017
token_s4_fwd3,conv_std,0.008869130178063704,0.00550160226012801,1.6120994864244038,0.10707537695897829,2400,0.006542649911118303
token_s4_fwd3,size_std,-0.0020220918919156886,0.010956336644190703,-0.18455912387356657,0.8535908697390089,2400,0.006542649911118303
token_s4_fwd3,mom_3m_std,-0.018875109243635967,0.010133897905540314,-1.8625714823233748,0.06264802712546969,2400,0.006542649911118303
token_s4_fwd3,mom_12_2_std,-0.006817893363313369,0.008561172272968296,-0.7963738079235609,0.42589572109965745,2400,0.006542649911118303
token_s4_fwd3,r_1m_std,-0.01096665007468389,0.010514607749638354,-1.04299183914503,0.2970599959894884,2400,0.006542649911118303
token_s4_fwd3,beta36_std,0.026692814231646222,0.01806972512660038,1.4772119688944145,0.13975362438862104,2400,0.006542649911118303
token_s4_fwd3,val_std,0.025202536479738594,0.014008628648510747,1.799072351198193,0.07213625876020124,2400,0.006542649911118303
token_s4_fwd3,conv_x_val,0.005916145368570128,0.006070951657404803,0.9745004906033379,0.3299089945584328,2400,0.006542649911118303
token_s4_fwd6,conv_std,-0.0022550262115739296,0.006466043861954925,-0.3487489815592051,0.7273132357050263,2131,0.012214066415694558
token_s4_fwd6,size_std,-0.018362800521120274,0.016099408668949006,-1.1405885084796115,0.2541731463983834,2131,0.012214066415694558
token_s4_fwd6,mom_3m_std,-0.03335967542147859,0.015492183460941987,-2.153323029357554,0.031408478945446294,2131,0.012214066415694558
token_s4_fwd6,mom_12_2_std,-0.013768766715096435,0.014118327378729874,-0.975240646129224,0.3295548561473014,2131,0.012214066415694558
token_s4_fwd6,r_1m_std,-0.033838307115558845,0.012325307453396345,-2.7454331053002985,0.006095346457628326,2131,0.012214066415694558
token_s4_fwd6,beta36_std,0.053665563390166926,0.03328735324337899,1.6121907619928075,0.10707287569518131,2131,0.012214066415694558
token_s4_fwd6,val_std,0.046563024575182244,0.023675323179824292,1.9667323745283638,0.049347473392132635,2131,0.012214066415694558
token_s4_fwd6,conv_x_val,-0.003246492181329302,0.006141391871384127,-0.5286248214279181,0.5971224095843441,2131,0.012214066415694558
token_s6_1,conv_std,0.007139220811494317,0.0030986730690360765,2.3039606478121164,0.021303746682675095,2652,4.891523283312438e-05
token_s6_2,conv_std,0.006876522146276032,0.0035641373434095037,1.9293650843706978,0.05379761541780903,2592,0.006086074454373147
