spec,var,coef,se,t,p,n
token_full_single_r_1m,r_1m_std,-0.01421743771443439,0.0059573232070711975,-2.3865479881230276,0.017078947621298912,2643
token_full_single_mom_3m,mom_3m_std,-0.0019095349068185767,0.0049925960788327626,-0.3824733418580527,0.7021418393292458,2636
token_full_single_mom_12_2,mom_12_2_std,-0.0021065379642936847,0.004557406211232117,-0.46222299849022497,0.6439609232335868,2604
token_full_joint,conv_std,0.0032010116750280167,0.002916616196966742,1.0975087083302368,0.2725395117107938,2249
token_full_joint,raw_val_std,-0.00542962319917293,0.0037268862331573255,-1.456879244358658,0.1452928135341831,2249
token_full_joint,supply_g12_std,0.0008247298639427999,0.004152203220419104,0.1986246385743026,0.8425747818097427,2249
token_full_joint,high52_std,-0.008231599201931106,0.009664350001927958,-0.8517488708799836,0.39444644735594636,2249
token_full_joint,ma_cross_std,-0.007296610808057362,0.005514054204818447,-1.3232751324209382,0.18588177943459128,2249
token_full_joint,r_1m_std,-0.01657861288708895,0.006735056295101416,-2.46154035848921,0.013910621381701738,2249
token_full_joint,mom_3m_std,0.002929347613534793,0.007107303884125724,0.4121601751231627,0.6802622905183262,2249
token_full_joint,mom_12_2_std,0.004774705440553484,0.005010204592398734,0.952996100757534,0.3406970241449896,2249
token_sub2024_single_conv,conv_std,0.006369575450089915,0.0033917350346658213,1.877969648273982,0.0605613431165366,1681
token_sub2024_single_raw_val,raw_val_std,-0.005080161464123592,0.0048183556488956905,-1.0543350956851647,0.29188370020480603,1681
token_sub2024_single_s2f_ln,s2f_ln_std,0.0012246745282435485,0.0043357423177216485,0.28246017371417315,0.7776359225291771,1321
token_sub2024_single_supply_g12,supply_g12_std,0.0008158075733082836,0.005767832702670972,0.14144092163604172,0.8875389155347291,1677
token_sub2024_single_high52,high52_std,-0.004679410834935778,0.006979124515966263,-0.6704867959055049,0.5026412397570541,1681
token_sub2024_single_ma_cross,ma_cross_std,-0.006566749240858768,0.005828788360246532,-1.1266062232839458,0.26008590423914413,1555
token_sub2024_single_r_1m,r_1m_std,-0.01954073280828054,0.007469724459417467,-2.6159911137879432,0.008978244902717147,1675
token_sub2024_single_mom_3m,mom_3m_std,-0.0017173348231769743,0.00615765819204849,-0.27889414605614254,0.7803611595666347,1672
token_sub2024_single_mom_12_2,mom_12_2_std,0.006873881129755545,0.004679937874523393,1.468797516987463,0.14208067277787162,1659
token_sub2024_joint,conv_std,0.004300980074253526,0.004610407120937276,0.9328850926681623,0.35102883486009095,1540
token_sub2024_joint,raw_val_std,-0.006594874506448937,0.004547956783777895,-1.4500741365819905,0.1472460673717939,1540
token_sub2024_joint,supply_g12_std,0.002590202055384,0.005879919708974582,0.4405165688624197,0.6596262355536813,1540
token_sub2024_joint,high52_std,0.007368858987138807,0.008302438194505294,0.8875536094945763,0.3749226375129371,1540
token_sub2024_joint,ma_cross_std,-0.008818855597295913,0.00544480190868295,-1.6196834605189736,0.10550965692850056,1540
token_sub2024_joint,r_1m_std,-0.026668485263802975,0.006746801420248208,-3.9527597749900676,8.083499083144652e-05,1540
token_sub2024_joint,mom_3m_std,-0.010651094046990746,0.006738889352757616,-1.5805414645415152,0.11419290668356208,1540
token_sub2024_joint,mom_12_2_std,0.010543094508057864,0.006633980588379693,1.5892561588928233,0.11221246696804288,1540
