cmc_id,symbol,name,entry_month,tags
7129,USTC,TerraClassicUSD,2020-12-31,algorithmic-stablecoin;alleged-sec-securities;aurora-ecosystem;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cosmos-ecosystem;depin;ethereum-ecosystem;fantom-ecosystem;harmony-ecosystem;injective-ecosystem;moonbeam-ecosystem;oasis-ecosystem;osmosis-ecosystem;polygon-ecosystem;secret-ecosystem;seigniorage;solana-ecosystem;stablecoin;terra-ecosystem;usd-stablecoin
6952,FRAX,Legacy Frax Dollar,2021-01-31,algorithmic-stablecoin;arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;avalanche-ecosystem;bnb-chain-ecosystem;defi;ethereum-ecosystem;fantom-ecosystem;lending-borowing;moonriver-ecosystem;near-protocol-ecosystem;optimism-ecosystem;polygon-ecosystem;polygon-zkevm-ecosystem;seigniorage;solana-ecosystem;stablecoin;usd-stablecoin;yield-farming
7824,VAI,Vai,2021-02-28,asset-backed-stablecoin;binance-smart-chain;bnb-chain;defi;stablecoin;stablecoin-asset-backed;usd-stablecoin
8642,FEI,Fei USD,2021-04-30,algorithmic-stablecoin;defi;stablecoin;stablecoin-algorithmically-stabilized
9025,TRIBE,Tribe,2021-04-30,algorithmic-stablecoin;defi;ethereum-ecosystem;governance;solana-ecosystem;stablecoin;stablecoin-algorithmically-stabilized
9566,LUSD,Liquity USD,2021-05-31,asset-backed-stablecoin;defi;ethereum-ecosystem;optimism-ecosystem;stablecoin;usd-stablecoin
7189,OUSD,Origin Dollar,2022-01-31,defi;stablecoin;usd-stablecoin
8489,XSGD,XSGD,2022-01-31,asset-backed-stablecoin;avalanche-ecosystem;ethereum-ecosystem;fiat-stablecoin;polygon-ecosystem;stablecoin;stablecoin-asset-backed;zilliqa-ecosystem
19891,USDD,USDD,2022-05-31,algorithmic-stablecoin;arbitrum-ecosystem;arbitrum-ecosytem;asset-backed-stablecoin;bnb-chain-ecosystem;ethereum-ecosystem;made-in-china;near-protocol-ecosystem;stablecoin;tron20-ecosystem;usd-stablecoin
6651,USDX,USDX [Kava],2022-06-30,algorithmic-stablecoin;stablecoin;usd-stablecoin
7958,vUSDC,Venus USDC,2022-06-30,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defi;rehypothecated-crypto;stablecoin
5446,USDJ,USDJ,2022-11-30,stablecoin;tron20-ecosystem
26081,FDUSD,First Digital USD,2023-08-31,asset-backed-stablecoin;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain-ecosystem;ethereum-ecosystem;fiat-stablecoin;solana-ecosystem;stablecoin;sui-ecosystem;usd-stablecoin
27772,PYUSD,PayPal USD,2023-10-31,asset-backed-stablecoin;ethereum-ecosystem;fiat-stablecoin;solana-ecosystem;stablecoin;stellar-ecosystem;usd-stablecoin
29470,USDe,Ethena USDe,2024-02-29,arbitrum-ecosystem;asset-backed-stablecoin;binance-ecosystem;binance-labs-portfolio;binance-listing;dragonfly-capital-portfolio;eigenlayer-ecosystem;ethereum-ecosystem;kava-ecosystem;linea-ecosystem;manta-pacific-ecosystem;mantle-ecosystem;megaeth-ecosystem;metis-andromeda-ecosystem;optimism-ecosystem;plasma-ecosystem;scroll-ecosystem;stablecoin;usd-stablecoin;xlayer-ecosystem
29599,USDB,USDB,2024-04-30,asset-backed-stablecoin;blast-ecosystem;stablecoin;usd-stablecoin
