cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags
734,BYC,Bytecent,True,coin,consensus tags: ['mineable'],,False,,,mineable
367,C2,Coin2.1,True,coin,"consensus tags: ['hybrid-pow-pos', 'scrypt']",,False,,,hybrid-pow-pos;scrypt
157,CAGE,CageCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
38195,CAMP,Camp Network,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,layer-1
506,CANN,CannabisCoin,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,mineable;pow
29,CAP,Bottlecaps,True,coin,consensus tags: ['mineable'],Derivatives,False,,,mineable
502,CARBON,Carboncoin,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",Farm,False,,,mineable;pow;scrypt
49,CBX,Bullion,True,coin,consensus tags: ['mineable'],,False,,,mineable
37263,CC,Canton,True,coin,consensus tags: ['proof-of-authority'],Chain,False,,,binance-ecosystem;binance-listing;enterprise-solutions;interoperability;layer-1;privacy;privacy-blockchain;proof-of-authority;scaling;smart-contracts;store-of-value
4122,CCA,Counos Coin,True,coin,consensus tags: ['mineable'],,False,,,mineable
279,CCN,CannaCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
5482,CCXX,Counos X,True,coin,consensus tags: ['mineable'],,False,,,mineable
304,CDN,Canada eCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1864,CDT,Blox,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,asset-management;smart-contracts
5567,CELO,Celo,True,coin,consensus tags: ['pos'],Chain,False,,,a16z-portfolio;binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;celo-ecosystem;coinbase-ventures-portfolio;coinlist-launchpad;dragonfly-capital-portfolio;dwf-labs-portfolio;electric-capital-portfolio;layer-2;made-in-america;mobile;near-protocol-ecosystem;payments;polychain-capital-portfolio;pos;privacy;smart-contracts;zero-knowledge-proofs
249,CESC,CryptoEscudo,True,coin,consensus tags: ['mineable'],,False,,,mineable
2941,CET,CoinEx Token,True,coin,layer-1 native chain token (no governance/dao tag),CEX,True,,,algorand-ecosystem;cosmos-ecosystem;decentralized-exchange;decentralized-exchange-dex-token;ethereum-ecosystem;injective-ecosystem;layer-1
7334,CFX,Conflux,True,coin,"consensus tags: ['mineable', 'pow', 'staking']",,False,,,binance-ecosystem;binance-listing;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;conflux-ecosystem;defi;dwf-labs-portfolio;huobi-capital-portfolio;hybrid-pow-dpos;injective-ecosystem;layer-1;made-in-china;mineable;payments;platform;pow;research;smart-contracts;staking;web3
146,CGA,Cryptographic Anomaly,True,coin,consensus tags: ['mineable'],,False,,,mineable
999,CHC,ChainCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
3978,CHR,Chromia,True,coin,layer-1 native chain token (no governance/dao tag),Dexs,True,,,ai-big-data;binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;chromia-ecosystem;collectibles-nfts;defi;enterprise-solutions;ethereum;ethereum-ecosystem;gaming;layer-1;metaverse;modular-blockchain;platform;real-world-assets;real-world-assets-protocols;web3
4066,CHZ,Chiliz,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,alleged-sec-securities;binance-ecosystem;binance-listing;chiliz-chain-ecosystem;collectibles-nfts;communications-social-media;content-creation;ethereum-ecosystem;layer-1;payments;sec-security-token;sports
1306,CJ,Cryptojacks,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable']",,False,,,hybrid-pow-pos;mineable;x13
4948,CKB,Nervos Network,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,1confirmation-portfolio;amber-group-portfolio;binance-ecosystem;binance-listing;blockchain-capital-portfolio;cms-holdings-portfolio;collectibles-nfts;dao;defi;dragonfly-capital-portfolio;electric-capital-portfolio;hashkey-capital-portfolio;huobi-capital;huobi-capital-portfolio;interoperability;layer-2;made-in-china;mineable;modular-blockchain;multicoin-capital-portfolio;platform;polychain-capital-portfolio;pow;quantum-resistant;research;rollups;scaling;smart-contracts;web3
460,CLAM,Clams,True,coin,consensus tags: ['pow'],Yield,False,,,medium-of-exchange;pow
362,CLOAK,CloakCoin,True,coin,consensus tags: ['hybrid-pow-pos'],,False,,,hybrid-pow-pos;privacy;x13
1855,CMP,Compcoin,True,coin,consensus tags: ['mineable'],Dexs,False,,,mineable
206,CNO,Coin(O),True,coin,consensus tags: ['mineable'],,False,,,mineable
1546,CNT,Centurion,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'x11']",Dexs,False,,,hybrid-pow-pos;mineable;x11
2027,CNX,Cryptonex,True,coin,consensus tags: ['mineable'],,False,,,centralized-exchange;medium-of-exchange;mineable;smart-contracts
65,COL,Colossuscoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
2001,COLX,ColossusXT,True,coin,"consensus tags: ['masternodes', 'mineable']",,False,,,bnb-chain;bnb-chain-ecosystem;ethereum-ecosystem;masternodes;mineable;privacy
23254,CORE,Core,True,coin,layer-1 native chain token (no governance/dao tag),Canonical Bridge;Derivatives;Yield,True,,,layer-1
1008,CPS,Capricoin+,True,coin,"consensus tags: ['hybrid-pow-pos', 'x11']",,False,,,hybrid-pow-pos;x11
1676,CREA,CREA,True,coin,consensus tags: ['mineable'],,False,,,media;mineable
986,CREVA,CrevaCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
3635,CRO,Cronos,True,coin,layer-1 native chain token (no governance/dao tag),Dexs,True,,,centralized-exchange;cosmos-ecosystem;ethereum-ecosystem;injective-ecosystem;layer-1;medium-of-exchange;mobile;osmosis-ecosystem;payments;solana-ecosystem
2447,CRPT,Crypterium,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,services;smart-contracts
720,CRW,Crown,True,coin,"consensus tags: ['masternodes', 'mineable', 'pos', 'pow', 'sha-256']",,False,,,masternodes;mineable;pos;pow;sha-256
337,CRYPT,CryptCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
5899,CSPR,Casper,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,ai-big-data;arrington-xrp-capital-portfolio;coinlist-launchpad;enterprise-solutions;hashkey-capital-portfolio;iso-20022;k300-ventures-portfolio;layer-1;okex-blockdream-ventures-portfolio;okx-ventures-portfolio;web3
5198,CTC,Creditcoin,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,dwf-labs-portfolio;ethereum-ecosystem;layer-1;real-world-assets;real-world-assets-protocols
169,CTM,ContinuumCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
5444,CTSI,Cartesi,True,coin,"consensus tags: ['pos', 'staking']",,False,,,arbitrum-ecosystem;arbitrum-ecosytem;avalanche-ecosystem;base-ecosystem;binance-ecosystem;binance-labs-portfolio;binance-launchpad;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cosmos-ecosystem;dapp;data-availability-proof;ethereum-ecosystem;injective-ecosystem;layer-2;modular-blockchain;optimism-ecosystem;platform;polygon-ecosystem;pos;rollups;scaling;sidechain;smart-contracts;staking
2638,CTXC,Cortex,True,coin,consensus tags: ['mineable'],,False,,,ai-big-data;iot;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;layer-1;mineable;platform;smart-contracts
333,CURE,Curecoin,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",,False,,,distributed-computing;education;mineable;pow;research;scrypt
3609,CWV,CWV Chain,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,payments;platform;smart-contracts
677,CZC,CzechCrownCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
2868,DAG,Constellation,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,dag;layer-1;made-in-america;payments;platform;smart-contracts
3345,DAPS,DAPS Coin,True,coin,"consensus tags: ['mineable', 'pos']",,False,,,bnb-chain;mineable;platform;pos;privacy
745,DARK,DarkCoin,True,coin,consensus tags: ['mineable'],Algo-Stables,False,,,mineable
131,DASH,Dash,True,coin,"consensus tags: ['hybrid-pow-pos', 'masternodes', 'mineable', 'x11']",,False,,,2017-2018-alt-season;alleged-sec-securities;binance-ecosystem;binance-listing;dao;governance;hybrid-pow-pos;made-in-america;masternodes;medium-of-exchange;mineable;near-protocol-ecosystem;privacy;privacy-coins;x11
1797,DAXX,DaxxCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1186,DBIC,DubaiCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1611,DBIX,DubaiCoin,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,dagger-hashimoto;mineable;pow
28,DBL,Doubloons,True,coin,consensus tags: ['mineable'],,False,,,mineable
1168,DCR,Decred,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable']",,False,,,binance-ecosystem;binance-listing;bitcoin-ecosystem;blake256;dao;hybrid-pow-pos;layer-1;made-in-america;medium-of-exchange;mineable;placeholder-ventures-portfolio;privacy;privacy-coins;store-of-value
1478,DCT,DECENT,True,coin,consensus tags: ['pos'],,False,,,pos
1745,DCY,Dinastycoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
2428,DDD,Scry.info,True,coin,smart-contract platform native token (no governance/defi tag),Dexs;Yield,True,,,ai-big-data;platform;smart-contracts
4180,DDK,DDKoin,True,coin,"consensus tags: ['dpos', 'mineable']",,False,,,dpos;enterprise-solutions;mineable;platform;scaling
12400,DEL,Decimal,True,coin,consensus tags: ['staking'],,False,,,bnb-chain-ecosystem;defi;ethereum-ecosystem;staking
72,DEM,Deutsche eMark,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'sha-256']",,False,,,hybrid-pow-pos;mineable;sha-256
2665,DERO,Dero,True,coin,consensus tags: ['mineable'],,False,,,mineable;privacy;smart-contracts
2649,DEV,DeviantCoin,True,coin,consensus tags: ['mineable'],Yield,False,,,mineable
5804,DFI,DeFiChain,True,coin,consensus tags: ['staking'],Dexs;Synthetics,False,,,defi;staking
109,DGB,DigiByte,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,binance-ecosystem;binance-listing;collectibles-nfts;iot;layer-1;made-in-america;medium-of-exchange;mineable;multiple;multiple-algorithms;payments;pow;privacy
18,DGC,Digitalcoin,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",,False,,,mineable;pow;scrypt
284,DIEM,Diem,True,coin,consensus tags: ['mineable'],Yield,False,,,mineable
90,DIME,Dimecoin,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,mineable;pow;quark
3441,DIVI,Divi,True,coin,"consensus tags: ['masternodes', 'mineable']",,False,,,asset-management;masternodes;mineable;wallet
77,DMD,Diamond,True,coin,"consensus tags: ['hybrid-pow-pos', 'masternodes', 'mineable', 'staking']",Farm;Yield,False,,,groestl;hybrid-pow-pos;masternodes;mineable;staking
74,DOGE,Dogecoin,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",Chain,False,,,animal-memes;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;doge-chain-ecosystem;doggone-doggerel;ftx-bankruptcy-estate;made-in-america;medium-of-exchange;memes;mineable;osmosis-ecosystem;payments;pow;scrypt;sec-cftc-digital-commodities;sec-cftc-token-taxonomy
551,DONU,Donu,True,coin,"consensus tags: ['mineable', 'pos', 'sha-256']",,False,,,mineable;pos;sha-256
145,DOPE,DopeCoin,True,coin,"consensus tags: ['pow', 'scrypt']",Dexs,False,,,pow;scrypt
6636,DOT,Polkadot,True,coin,layer-1 native chain token (no governance/dao tag),Foundation;Liquid Staking;Yield,True,,,1confirmation-portfolio;arbitrum-ecosystem;arrington-xrp-capital-portfolio;base-ecosystem;binance-chain;binance-ecosystem;binance-listing;binance-smart-chain;blockchain-capital-portfolio;bnb-chain;boostvc-portfolio;cms-holdings-portfolio;coinfund-portfolio;defi;dot-ecosystem;ethereum-ecosystem;exnetwork-capital-portfolio;fabric-ventures-portfolio;fenbushi-capital-portfolio;gnosis-chain-ecosystem;hashkey-capital-portfolio;heco-ecosystem;injective-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;layer-1;made-in-america;optimism-ecosystem;osmosis-ecosystem;pantera-capital-portfolio;placeholder-ventures-portfolio;polkadot;polkadot-ecosystem;polychain-capital-portfolio;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;spartan-group;substrate;three-arrows-capital-portfolio;web3
660,DSH,Dashcoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
69,DTC,Datacoin,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,mineable;multiple-algorithms;pow
4092,DUSK,Dusk,True,coin,consensus tags: ['pos'],,False,,,binance-ecosystem;binance-listing;bnb-chain-ecosystem;enterprise-solutions;ethereum-ecosystem;layer-1;marketplace;pos;privacy;privacy-blockchain;privacy-coins;real-world-assets;real-world-assets-protocols;smart-contracts;zero-knowledge-proofs
7,DVC,Devcoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1476,DWC,DeepWebCash,True,coin,consensus tags: ['mineable'],,False,,,mineable
28324,DYDX,dYdX,True,coin,layer-1 native chain token (no governance/dao tag),Derivatives,True,,,binance-ecosystem;binance-liquidity-enhancement-program;binance-listing;decentralized-exchange-dex-token;derivatives;layer-1;made-in-america;osmosis-ecosystem;perp-dex-coins;perpetuals
1587,DYN,Dynamic,True,coin,"consensus tags: ['masternodes', 'mineable', 'pow']",,False,,,argon2;masternodes;mineable;pow
85,EAC,EarthCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1615,EB3,EB3 Coin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1711,ECA,Electra,True,coin,consensus tags: ['mineable'],,False,,,atomic-swaps;medium-of-exchange;mineable;payments
212,ECC,ECC,True,coin,"consensus tags: ['pos', 'scrypt']",,False,,,pos;scrypt
1618,ECN,E-coin,True,coin,consensus tags: ['mineable'],,False,,,mineable
3344,ECOREAL,Ecoreal Estate,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,real-estate;smart-contracts
1358,EDC,EDC Blockchain v1 [old],True,coin,"consensus tags: ['dpos', 'masternodes', 'mineable', 'x11']",,False,,,dpos;enterprise-solutions;masternodes;mineable;platform;x11
234,EFL,e-Gulden,True,coin,"consensus tags: ['mineable', 'pow', 'scrypt']",,False,,,mineable;pow;scrypt
1148,EGC,EverGreenCoin,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable']",,False,,,hybrid-pow-pos;mineable;x15
6892,EGLD,MultiversX,True,coin,consensus tags: ['pos'],,False,,,ai-big-data;binance-ecosystem;binance-labs-portfolio;binance-launchpad;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defi;depin;distributed-computing;dwf-labs-portfolio;electric-capital-portfolio;elrond-ecosystem;enterprise-solutions;exnetwork-capital-portfolio;gaming;identity;injective-ecosystem;layer-1;loyalty;metaverse;mobile-payment;multiversx-ecosystem;payments;pos;scaling;smart-contracts;software;web3
2453,EKT,EDUCare,True,coin,smart-contract platform native token (no governance/defi tag),,True,,,education;smart-contracts
2492,ELA,Elastos,True,coin,"consensus tags: ['mineable', 'sha-256']",,False,,,depin;distributed-computing;elastos-ecosystem;ethereum-ecosystem;filesharing;heco-ecosystem;mineable;platform;sha-256;sidechain;state-channel;state-channels;web3
2299,ELF,aelf,True,coin,consensus tags: ['dpos'],Algo-Stables,False,,,arrington-xrp-capital-portfolio;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cross-chain;dao;dapp;dpos;enterprise-solutions;ethereum-ecosystem;huobi-capital;huobi-capital-portfolio;interoperability;layer-1;marketplace;smart-contracts
558,EMC,Emercoin,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'sha-256']",,False,,,hybrid-pow-pos;mineable;sha-256
201,EMC2,Einsteinium,True,coin,consensus tags: ['mineable'],,False,,,crowdfunding;mineable;research;technology
2130,ENJ,Enjin Coin,True,coin,layer-1 native chain token (no governance/dao tag),,True,,,arrington-xrp-capital-portfolio;binance-ecosystem;binance-listing;collectibles-nfts;ethereum;ethereum-ecosystem;gaming;layer-1;media;metaverse;polkadot-ecosystem;vr-ar
322,ENRG,Energycoin,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable', 'scrypt']",,False,,,hybrid-pow-pos;mineable;scrypt
1765,EOS,EOS,True,coin,smart-contract platform native token (no governance/defi tag),Lending,True,,,2017-2018-alt-season;binance-chain;binance-smart-chain;bnb-chain;dwf-labs-portfolio;enterprise-solutions;eos;eos-ecosystem;fenbushi-capital-portfolio;galaxy-digital-portfolio;heco-ecosystem;made-in-america;medium-of-exchange;smart-contracts
964,ERC,EuropeCoin,True,coin,consensus tags: ['mineable'],,False,,,mineable
1762,ERG,Ergo,True,coin,"consensus tags: ['mineable', 'pow']",,False,,,cardano;cardano-ecosystem;dapp;defi;layer-1;mineable;platform;pow;privacy;privacy-blockchain;privacy-coins;research;smart-contracts
1238,ESP,Espers,True,coin,"consensus tags: ['hybrid-pow-pos', 'mineable']",,False,,,hmq1725;hybrid-pow-pos;marketplace;mineable;payments
1321,ETC,Ethereum Classic,True,coin,"consensus tags: ['ethash', 'mineable', 'pow']",,False,,,2017-2018-alt-season;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;dcg-portfolio;ethash;ethereum-classic-ecosystem;layer-1;mineable;platform;pow;smart-contracts
1027,ETH,Ethereum,True,coin,"consensus tags: ['ethash', 'mineable', 'pos', 'pow']",Foundation,False,2020-12-01,PoW until Beacon Chain genesis 2020-12-01; full PoS at Merge 2022-09-15. No staking-based lambda channel before 2020-12.,1confirmation-portfolio;a16z-portfolio;abstract-chain-ecosystem;alameda-research-portfolio;arrington-xrp-capital;avalanche-ecosystem;binance-ecosystem;binance-labs-portfolio;binance-listing;binance-smart-chain;blockchain-capital-portfolio;bnb-chain;boostvc-portfolio;cms-holdings-portfolio;coinbase-ventures-portfolio;crowdfunding;dcg-portfolio;dragonfly-capital-portfolio;electric-capital-portfolio;ethash;ethereum;ethereum-ecosystem;ethereum-pow-ecosystem;fabric-ventures-portfolio;framework-ventures;framework-ventures-portfolio;ftx-bankruptcy-estate;hashkey-capital-portfolio;heco-ecosystem;huobi-capital;huobi-capital-portfolio;injective-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;klaytn-ecosystem;layer-1;medium-of-exchange;mineable;multicoin-capital-portfolio;near-protocol-ecosystem;osmosis-ecosystem;pantera-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;placeholder-ventures-portfolio;polychain-capital-portfolio;pos;pow;rsk-rbtc-ecosystem;sec-cftc-digital-commodities;sec-cftc-token-taxonomy;smart-contracts;solana-ecosystem;soneium-ecosystem;sophon-ecosystem;sora-ecosystem;starknet-ecosystem;tezos-ecosystem;three-arrows-capital-portfolio;unichain-ecosystem;us-strategic-crypto-reserve;usv-portfolio;velas-ecosystem;viction-ecosystem;winklevoss-capital;winklevoss-capital-portfolio;world-liberty-financial-portfolio;zksync-era-ecosystem
