cmc_id,symbol,name,slug,date_added,entry_month,tags
2212,QSP,Quantstamp,quantstamp,2017-11-21T00:00:00.000Z,2017-11-30,cybersecurity;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;smart-contracts
1918,ACT,Achain,achain,2017-08-27T00:00:00.000Z,2017-11-30,dpos;platform;smart-contracts
2096,RCN,Ripio Credit Network,ripio-credit-network,2017-10-26T00:00:00.000Z,2017-11-30,boostvc-portfolio;defi;fenbushi-capital-portfolio;hashkey-capital-portfolio;lending-borowing;services
2021,REV,RChain,rchain,2017-10-06T00:00:00.000Z,2017-11-30,distributed-computing;platform;smart-contracts
2069,OTN,Open Trading Network,open-trading-network,2017-10-25T00:00:00.000Z,2017-11-30,
2087,KCS,KuCoin Token,kucoin-token,2017-10-24T00:00:00.000Z,2017-11-30,algorand-ecosystem;centralized-exchange;discount-token;ethereum-ecosystem;kcc-ecosystem;made-in-china;marketplace
2135,REV,Revain,revain,2017-11-01T00:00:00.000Z,2017-11-30,platform;reputation;smart-contracts
2134,GRID,Grid+,grid,2017-11-01T00:00:00.000Z,2017-11-30,energy
2006,COB,Cobinhood,cobinhood,2017-10-01T00:00:00.000Z,2017-11-30,centralized-exchange;marketplace
2047,ZSC,Zeusshield,zeusshield,2017-10-13T00:00:00.000Z,2017-11-30,
2235,TNB,Time New Bank,time-new-bank,2017-11-27T00:00:00.000Z,2017-11-30,platform;smart-contracts
2181,GVT,Genesis Vision,genesis-vision,2017-11-15T00:00:00.000Z,2017-11-30,asset-management
2082,ICOS,ICOS,icos,2017-10-23T00:00:00.000Z,2017-11-30,
2149,UKG,Unikoin Gold,unikoin-gold,2017-11-05T00:00:00.000Z,2017-11-30,gambling;gaming
2120,FUEL,Etherparty,etherparty,2017-10-30T00:00:00.000Z,2017-11-30,dapp;marketplace;payments
2130,ENJ,Enjin Coin,enjin-coin,2017-11-01T00:00:00.000Z,2017-11-30,arrington-xrp-capital-portfolio;binance-ecosystem;binance-listing;collectibles-nfts;ethereum;ethereum-ecosystem;gaming;layer-1;media;metaverse;polkadot-ecosystem;vr-ar
2191,PAYX,Paypex,paypex,2017-11-16T00:00:00.000Z,2017-11-30,
2162,DPY,Delphy,delphy,2017-11-08T00:00:00.000Z,2017-11-30,gambling
2094,PRG,Paragon,paragon,2017-10-26T00:00:00.000Z,2017-11-30,
2070,DRT,DomRaider,domraider,2017-10-19T00:00:00.000Z,2017-11-30,collectibles-nfts;marketplace
1899,YOYOW,YOYOW,yoyow,2017-08-19T00:00:00.000Z,2017-11-30,content-creation;media
2005,ODN,Obsidian,obsidian,2017-09-30T00:00:00.000Z,2017-11-30,
2176,HST,Decision Token,decision-token,2017-11-12T00:00:00.000Z,2017-11-30,
1381,BTDX,Bitcloud,bitcloud,2016-09-12T00:00:00.000Z,2017-11-30,hybrid-pow-pos;quark
2099,ICX,ICON,icon,2017-10-27T00:00:00.000Z,2017-12-31,binance-ecosystem;binance-listing;binance-smart-chain;cosmos-ecosystem;cross-chain;defi;enterprise-solutions;ethereum-ecosystem;interoperability;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;pantera-capital-portfolio;platform;smart-contracts
2300,WAXP,WAX,wax,2017-12-21T00:00:00.000Z,2017-12-31,binance-ecosystem;binance-listing;collectibles-nfts;entertainment;ethereum-ecosystem;galaxy-digital-portfolio;gaming;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;layer-1;media;metaverse;okex-blockdream-ventures-portfolio;okx-ventures-portfolio;payments;play-to-earn
2137,ETN,Electroneum,electroneum,2017-11-02T00:00:00.000Z,2017-12-31,layer-1;medium-of-exchange;mineable;wallet
1367,XP,Experience Points,experience-points,2016-09-03T00:00:00.000Z,2017-12-31,mineable
2243,DRGN,Dragonchain,dragonchain,2017-12-03T00:00:00.000Z,2017-12-31,alleged-sec-securities;enterprise-solutions;ethereum-ecosystem;made-in-america;platform
2062,AION,Aion,aion,2017-10-18T00:00:00.000Z,2017-12-31,ai-big-data;marketplace;mineable;payments
2213,QASH,QASH,qash,2017-11-21T00:00:00.000Z,2017-12-31,discount-token;marketplace;payments
2299,ELF,aelf,aelf,2017-12-21T00:00:00.000Z,2017-12-31,arrington-xrp-capital-portfolio;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cross-chain;dao;dapp;dpos;enterprise-solutions;ethereum-ecosystem;huobi-capital;huobi-capital-portfolio;interoperability;layer-1;marketplace;smart-contracts
2033,BCO,BridgeCoin,bridgecoin,2017-10-10T00:00:00.000Z,2017-12-31,
2239,LEND,Aave,aave,2017-11-30T00:00:00.000Z,2017-12-31,defi;platform
2320,UTK,xMoney,utrust,2017-12-29T00:00:00.000Z,2017-12-31,binance-ecosystem;binance-listing;cybersecurity;defi;elrond-ecosystem;ethereum-ecosystem;multiversx-ecosystem;payments;smart-contracts
2297,STMX,StormX,stormx,2017-12-20T00:00:00.000Z,2017-12-31,ethereum-ecosystem;loyalty;media
2251,ITC,IoT Chain,iot-chain,2017-12-06T00:00:00.000Z,2017-12-31,iot;platform;smart-contracts
2303,MED,MediBloc,medibloc,2017-12-22T00:00:00.000Z,2017-12-31,cosmos-ecosystem;health;injective-ecosystem
2223,VEE,BLOCKv,blockv,2017-11-28T00:00:00.000Z,2017-12-31,collectibles-nfts;communications-social-media;content-creation;enterprise-solutions;ethereum-ecosystem;media;polygon-ecosystem
2267,WABI,Wabi,wabi,2017-12-12T00:00:00.000Z,2017-12-31,data-provenance;logistics;marketing;payments
2306,BRD,Bread,bread,2017-12-24T00:00:00.000Z,2017-12-31,binance-launchpad;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;services;wallet
2246,CMT,CyberMiles,cybermiles,2017-12-06T00:00:00.000Z,2017-12-31,cosmos-ecosystem;e-commerce;platform
2092,NULS,NULS,nuls,2017-10-25T00:00:00.000Z,2017-12-31,bnb-chain-ecosystem;dwf-labs-portfolio;enterprise-solutions;ethereum-ecosystem;mineable;platform
2298,DTR,Dynamic Trading Rights,dynamic-trading-rights,2017-12-20T00:00:00.000Z,2017-12-31,marketplace
2296,OST,OST,ost,2017-12-19T00:00:00.000Z,2017-12-31,kinetic-capital;services
2144,XSH,SHIELD,shield-xsh,2017-11-03T00:00:00.000Z,2017-12-31,mineable
2219,SPANK,SpankChain,spankchain,2017-11-23T00:00:00.000Z,2017-12-31,adult
1107,PAC,PAC Protocol,pac-protocol,2015-11-02T00:00:00.000Z,2017-12-31,decentralized-exchange;filesharing;ipfs;masternodes;mineable;pos;pos-30;storage
2211,BOT,Bodhi,bodhi,2017-11-20T00:00:00.000Z,2017-12-31,
2175,DBET,DecentBet,decent-bet,2017-11-13T00:00:00.000Z,2017-12-31,gambling
1711,ECA,Electra,electra,2017-06-09T00:00:00.000Z,2017-12-31,atomic-swaps;medium-of-exchange;mineable;payments
2090,LA,LATOKEN,latoken,2017-10-25T00:00:00.000Z,2017-12-31,centralized-exchange;marketplace;payments
1518,MKR,Maker,maker,2017-01-29T00:00:00.000Z,2018-01-31,1confirmation-portfolio;a16z-portfolio;arbitrum-ecosystem;arbitrum-ecosytem;avalanche-ecosystem;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;dao;defi;dragonfly-capital-portfolio;electric-capital-portfolio;ethereum-ecosystem;governance;lending-borowing;made-in-america;near-protocol-ecosystem;pantera-capital-portfolio;paradigm-portfolio;paradigm-xzy-screener;placeholder-ventures-portfolio;polychain-capital-portfolio;real-world-assets;spartan-group;standard-crypto-portfolio;store-of-value
2469,ZIL,Zilliqa,zilliqa,2018-01-25T00:00:00.000Z,2018-01-31,binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;defi;ethereum-ecosystem;gaming;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;made-in-china;metaverse;mineable;payments;platform;polychain-capital-portfolio;smart-contracts;zilliqa-ecosystem
2405,IOST,IOST,iostoken,2018-01-16T00:00:00.000Z,2018-01-31,binance-ecosystem;binance-listing;bnb-chain-ecosystem;hardware;huobi-capital;huobi-capital-portfolio;iost-ecosystem;iot
2276,IGNIS,Ignis,ignis,2017-12-13T00:00:00.000Z,2018-01-31,payments;platform;state-channel;state-channels
2424,AGIX,SingularityNET,singularitynet,2018-01-18T00:00:00.000Z,2018-01-31,ai-big-data;cardano-ecosystem;cross-chain-aggregator-dex;cross-chain-dex-aggregator;generative-ai;marketplace;payments
2313,SRN,SIRIN LABS Token,sirin-labs-token,2017-12-28T00:00:00.000Z,2018-01-31,distributed-computing;platform
2345,HPB,High Performance Blockchain,high-performance-blockchain,2018-01-09T00:00:00.000Z,2018-01-31,dpos;enterprise-solutions;hardware;smart-contracts
2304,DEW,DEW,dew,2017-12-22T00:00:00.000Z,2018-01-31,
2309,SPHTX,SophiaTX,sophiatx,2017-12-26T00:00:00.000Z,2018-01-31,ai-big-data;enterprise-solutions;platform
2307,BIX,Bibox Token,bibox-token,2017-12-24T00:00:00.000Z,2018-01-31,centralized-exchange;discount-token;marketplace
2416,THETA,Theta Network,theta-network,2018-01-17T00:00:00.000Z,2018-01-31,2017-2018-alt-season;ai-big-data;binance-ecosystem;binance-listing;collectibles-nfts;communications-social-media;content-creation;defi;depin;distributed-computing;entertainment;huobi-capital;huobi-capital-portfolio;layer-1;made-in-america;media;metaverse;sharing-economy;smart-contracts;video;vr-ar;web3
2316,DBC,DeepBrain Chain,deepbrain-chain,2017-12-28T00:00:00.000Z,2018-01-31,ai-big-data;depin;distributed-computing;metaverse;platform;polkadot;polkadot-ecosystem;substrate
2443,TNC,Trinity Network Credit,trinity-network-credit,2018-01-22T00:00:00.000Z,2018-01-31,payments;platform;state-channels
2315,HTML,HTMLCOIN,html-coin,2017-12-28T00:00:00.000Z,2018-01-31,dapp;mineable;platform
2344,APPC,AppCoins,appcoins,2018-01-08T00:00:00.000Z,2018-01-31,dapp;mobile;platform
