cmc_id,symbol,name,in_universe,asset_class,classification_basis,defillama_categories,ambiguous_flag,staking_start,transition_note,tags,asset_class_original,confirmation_basis,sector,market_cap,month_end
36175,UNIBTC,Universal BTC,True,token,governance/defi tags: ['defi'],,False,,,aptos-ecosystem;arbitrum-ecosystem;base-ecosystem;bera-chain-ecosystem;bnb-chain-ecosystem;b²-network-ecosystem;corn-ecosystem;defi;duckchain-ecosystem;ethereum-ecosystem;iotex-ecosystem;mantle-ecosystem;merlin-ecosystem;mode-ecosystem;move-vm;optimism-ecosystem;rehypothecated-crypto;restaking;rootstock-rsk-ecosystem;solana-ecosystem;sonic-ecosystem;taiko-ecosystem;unichain-ecosystem;zeta-ecosystem,token,,Restaking,281469338.5504554,2026-05-31
5015,HEX,HEX,True,token,DeFiLlama governance/DeFi category: ['Yield'],Yield,True,,,,token,,Yield,278843625.79771394,2024-05-31
10804,FLOKI,FLOKI,True,token,governance/defi tags: ['defi'],Token Locker,False,,,animal-memes;binance-ecosystem;binance-listing;bnb-chain;bnb-chain-ecosystem;defi;doggone-doggerel;dwf-labs-portfolio;ethereum-ecosystem;gaming;memes;metaverse;paal-ecosystem;play-to-earn;tokenfi-launchpad,token,,Token Locker;Gaming;Meme;Metaverse,273897899.2580166,2026-05-31
36532,B,BUILDon,True,token,DeFiLlama governance/DeFi category: ['Derivatives'],Derivatives;Liquidity Manager,True,,,ai-memes;binance-alpha;binance-ecosystem;binance-listing;bnb-chain-ecosystem;four-meme-ecosystem;memes;wlfi-ecosystem;world-liberty-financial-portfolio,token,,Derivatives;Liquidity Manager;Meme,237438009.5727853,2026-05-31
24875,STRX,Staked TRX,True,token,governance/defi tags: ['defi'],Farm,False,,,defi;rehypothecated-crypto;tron20-ecosystem,token,,Farm,215013741.92434484,2026-05-31
32272,PUMPBTC,pumpBTC (Rehypothecated BTC),True,token,governance/defi tags: ['defi'],,False,,,bnb-chain-ecosystem;defi;ethereum-ecosystem;rehypothecated-crypto;restaking,token,,Restaking,212289105.8321605,2025-11-30
6783,AXS,Axie Infinity,True,token,"governance/defi tags: ['defiance-capital', 'defiance-capital-portfolio']",Gaming,False,,,alleged-sec-securities;animoca-brands-portfolio;binance-ecosystem;binance-launchpad;binance-listing;collectibles-nfts;defiance-capital;defiance-capital-portfolio;ethereum-ecosystem;gaming;harmony-ecosystem;metaverse;play-to-earn;ronin-ecosystem;sec-security-token;solana-ecosystem;trading-card-game,token,,Gaming;NFT;Metaverse,205382367.41282085,2026-05-31
8353,BETH,Beacon ETH,True,token,governance/defi tags: ['defi'],,False,,,bnb-chain;bnb-chain-ecosystem;defi;eth-staking;rehypothecated-crypto,token,,,201171738.65460247,2026-05-31
8526,RAY,Raydium,True,token,"governance/defi tags: ['amm', 'decentralized-exchange', 'decentralized-exchange-dex-token', 'defi', 'derivatives', 'dex', 'perpetuals']",Dexs;Interface;Launchpad,False,,,amm;binance-ecosystem;binance-listing;decentralized-exchange;decentralized-exchange-dex-token;defi;derivatives;dex;k300-ventures-portfolio;perpetuals;petrock-capital;petrock-capital-portfolio;solana-ecosystem,token,,Dexs;Interface;Launchpad;DEX;Derivatives;Perpetuals,192259028.09554115,2026-05-31
33824,SYRUP,Maple Finance,True,token,"governance/defi tags: ['dao', 'defi', 'real-world-assets', 'real-world-assets-protocols']",Lending;RWA,False,,,base-ecosystem;binance-alpha;binance-ecosystem;binance-listing;circle-ventures-portfolio;dao;defi;ethereum-ecosystem;framework-ventures-portfolio;real-world-assets;real-world-assets-protocols,token,,Lending;RWA,187395839.7716632,2026-05-31
8210,BTCST,Bitcoin Standard Hashrate Token,True,token,DeFiLlama governance/DeFi category: ['Yield'],Yield,True,,,,token,,Yield,183168920.34968105,2021-02-28
39379,GWEI,ETHGas,True,token,"governance/defi tags: ['defi', 'governance']",,False,,,amber-group-portfolio;binance-alpha;binance-alpha-airdrops;binance-ecosystem;binance-listing;bnb-chain-ecosystem;defi;ethereum-ecosystem;governance;polychain-capital-portfolio,token,,,178129618.314322,2026-05-31
30494,EIGEN,EigenCloud,True,token,governance/defi tags: ['defi'],Restaking,False,,,binance-ecosystem;binance-listing;cmc-crypto-yearbook-2024-2025;defi;ethereum-ecosystem;made-in-america;restaking;x402-ecosystem,token,,Restaking,164125925.28013864,2026-05-31
24257,LGCT,Legacy Token,True,token,DeFiLlama governance/DeFi category: ['Farm'],Farm,True,,,base-ecosystem;bnb-chain-ecosystem;education;ethereum-ecosystem,token,,Farm,159602748.30428478,2025-11-30
6748,CFG,Centrifuge,True,token,"governance/defi tags: ['real-world-assets', 'real-world-assets-protocols']",RWA;RWA Lending,False,,,binance-ecosystem;binance-listing;coinlist-launchpad;ethereum;ethereum-ecosystem;moonbeam-ecosystem;polkadot;polkadot-ecosystem;real-world-assets;real-world-assets-protocols;sei-ecosystem;substrate,token,,RWA;RWA Lending,154156694.1211217,2026-05-31
