cmc_id,symbol,name,dl_slug,cmcid_categories,symbol_categories,has_addr,token_chain,has_snapshot,stage1_label,stage1_reason
2081,AMB,AirDAO,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2096,RCN,Ripio Credit Network,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2099,ICX,ICON,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2110,DOV,Dovu,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2112,PHB,Phoenix Global,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2120,FUEL,Etherparty,,,Bridge;Chain;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2165,ERC20,ERC20,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2176,HST,Decision Token,,,Launchpad;Prediction Market,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2202,PRL,Oyster,,,CDP;Gaming;Yield Aggregator,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2223,VEE,BLOCKv,,,Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2239,LEND,Aave,,,Lending;Onchain Capital Allocator;Yield,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2242,QBT,Qbao,,,Lending,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2273,UQC,Uquid Coin,,,,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
2277,SMT,SmartMesh,,,Dexs,False,,False,NO_ID,"no cmcId DL protocol, no contract address, no Snapshot space on file — no on-chain identity available to check"
