cmc_id,symbol,name,asset_class,chain,class,tx_repository,ch1_staking,ch2_holding,ch3_voting
38948,USX,Solstice USX,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
735,VASH,VPNCoin,other,,NO-IDENTITY,,no,no,no
923,VIRAL,Viral,other,,NO-IDENTITY,,no,no,no
1566,VISIO,Visio,other,,NO-IDENTITY,,no,no,no
5233,WCC,WinCash,other,,NO-IDENTITY,,no,no,no
33469,WCHZ,Wrapped Chiliz,other,Chiliz Chain; Chiliz Legacy Chain,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
1527,WCT,Waves Community Token,other,,NO-IDENTITY,,no,no,no
20456,WE,WeBuy,other,KAIA,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
24913,WEOS,Wrapped EOS,other,EOS EVM,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
20701,WEVER,Wrapped Everscale,other,Everscale,NonEVM-indexed,ton-style,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
28752,WIF,dogwifhat,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
24165,WKAVA,Wrapped Kava,other,Kava,NonEVM-indexed,Mintscan/LCD,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
35837,WOULD,would,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
982,WS,Woodshares,other,,NO-IDENTITY,,no,no,no
19076,WVLX,Wrapped Velas,other,Velas,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
1636,XBY,XTRABYTES,other,,NO-IDENTITY,,no,no,no
335,XC,XCurrency,other,,NO-IDENTITY,,no,no,no
652,XCH,ClearingHouse,other,,NO-IDENTITY,,no,no,no
509,XCR,Crypti,other,,NO-IDENTITY,,no,no,no
2939,XD,Data Transaction Token,other,,NO-IDENTITY,,no,no,no
567,XDP,Dogeparty,other,,NO-IDENTITY,,no,no,no
1737,XEL,XEL,other,,NO-IDENTITY,,no,no,no
5060,XNC,XeniosCoin,other,,NO-IDENTITY,,no,no,no
2369,XNS,Insolar,other,,NO-IDENTITY,,no,no,no
920,XSD,SounDAC,other,,NO-IDENTITY,,no,no,no
694,XTC,TileCoin,other,,NO-IDENTITY,,no,no,no
4899,YAP,Yap Stone,other,,NO-IDENTITY,,no,no,no
1499,YASH,YashCoin,other,,NO-IDENTITY,,no,no,no
95,YBC,YbCoin,other,,NO-IDENTITY,,no,no,no
7321,YOUC,yOUcash,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1899,YOYOW,YOYOW,other,,NO-IDENTITY,,no,no,no
6726,YUSRA,YUSRA,other,,NO-IDENTITY,,no,no,no
1219,ZAIF,ZAIF,other,,NO-IDENTITY,,no,no,no
2685,ZEBI,Zebi Token,other,,NO-IDENTITY,,no,no,no
34083,ZEREBRO,Zerebro,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1726,ZRC,ZrCoin,other,,NO-IDENTITY,,no,no,no
32554,wIOTA,wIOTA,other,IOTA EVM,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
36462,A,Vaulta,token,Vaulta,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
6756,ACA,Acala Token,token,,NO-IDENTITY,,no,no,no
33566,ACT,Act I : The AI Prophecy,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1125,AMP,HyperSpace,token,,NO-IDENTITY,,no,no,no
473,APEX,ApexCoin,token,,NO-IDENTITY,,no,no,no
34926,ARC,AI Rig Complex,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
661,ARCH,ARCHcoin,token,,NO-IDENTITY,,no,no,no
33834,BBSOL,Bybit Staked SOL,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
659,BITS,Bitswift,token,,NO-IDENTITY,,no,no,no
32882,BNSOL,Binance Staked SOL,token,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
3653,BRC,Baer Chain,token,,NO-IDENTITY,,no,no,no
1121,BST,BitStone,token,,NO-IDENTITY,,no,no,no
8210,BTCST,Bitcoin Standard Hashrate Token,token,,NO-IDENTITY,,no,no,no
9486,BTCT,Bitcoin TRC20,token,Tron20,NonEVM-indexed,TronScan/TronGrid,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
1573,CASINO,Casino,token,Multi-Chain,Obscure,varies,unknown,maybe,unknown
