cmc_id,symbol,chainid,address,holder_count,est_transfers,est_getlogs_calls
3155,QNT,1,0x4a220e6096b25eadb88358cb44068a3248254675,167438,6697520,13395
3773,FET,1,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,168656,6746240,13492
38341,RAIN,42161,0x25118290e6A5f4139381D072181157035864099d,170458,6818320,13637
6719,GRT,1,0xc944e90c64b2c07662a292be6244bdf05cda44a7,173208,6928320,13857
2308,SAI,1,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,176501,7060040,14120
3782,ONOT,1,0xb31c219959e06f9afbeb36b388a4bad13e802725,177551,7102040,14204
2691,PNT,1,0x53066cddbc0099eb6c96785d9b3df2aaeede5da3,178799,7151960,14304
16463,SOS,1,0x3b484b82567a09e2588A13D54D032153f0c0aEe0,184047,7361880,14724
5185,KOK,1,0x9b9647431632af44be02ddd22477ed94d14aacaa,184599,7383960,14768
18876,APE,1,0x4d224452801aced8b2f0aebe155379bb5d594381,188459,7538360,15077
1896,ZRX,1,0xe41d2489571d322189246dafa5ebde1f4699f498,190081,7603240,15206
7278,AAVE,1,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,199525,7981000,15962
21159,ONDO,1,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,202984,8119360,16239
6210,SAND,1,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,207810,8312400,16625
5692,COMP,1,0xc00e94cb662c3520282e6f5717214004a7f26888,220206,8808240,17616
30494,EIGEN,1,0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83,223377,8935080,17870
2458,OCN,1,0x4092678e4E78230F46A1534C0fbc8fA39780892B,235979,9439160,18878
28480,BLAST,81457,0xb1a5700fA2358173Fe465e6eA4Ff52E36e88E2ad,273117,10924680,21849
1966,MANA,1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,281271,11250840,22502
11857,GMX,42161,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,299448,11977920,23956
2512,UCASH,1,0x92e52a1a235d9a103d970901066ce910aacefd37,318646,12745840,25492
1776,MCO,1,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,344033,13761320,27523
7083,UNI,1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,385104,15404160,30808
27048,APEPE,137,0xA3f751662e282E83EC3cBc387d225Ca56dD63D3A,416332,16653280,33307
24478,PEPE,1,0x6982508145454ce325ddbe47a25d4ec3d2311933,565708,22628320,45257
8085,stETH,1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,614874,24594960,49190
1808,OMG,1,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,655452,26218080,52436
28301,MEME,1,0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74,761847,30473880,60948
1975,LINK,1,0x514910771af9ca656af840dff83e8264ecf986ca,895684,35827360,71655
1673,MNE,1,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,1199279,47971160,95942
32257,UXLINK,42161,0x1a6b3a62391eccaaa992ade44cd4afe6bec8cff1,1231538,49261520,98523
2017,KICK,1,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,1251890,50075600,100151
5994,SHIB,1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1599075,63963000,127926
3640,LPT,1,0x58b6a8a3302369daec383334672404ee733ab239,2167635,86705400,173411
2396,WETH,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3297801,131912040,263824
5015,HEX,1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,9054606,362184240,724368
