cmc_id,symbol,name,chain,chainid,address,etherscan_reachable,getlogs_free_tier,contract,ch1_lock_stake,ch1_event,ch2_holding,ch3_voting,ch3_event
3515,DEX,DEX,Ethereum,1,0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56,yes,yes,ZeppelinCoin,-,,Transfer-log (free),-,
3637,AERGO,Aergo,Ethereum,1,0x91af0fbb28aba7e31403cb457106ce79397fd4e6,yes,yes,AergoErc20,-,,Transfer-log (free),-,
3653,BRC,Baer Chain,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
3748,HXRO,Hxro,Ethereum,1,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,yes,yes,HxroTokenContract,-,,Transfer-log (free),-,
3792,USDE,USDe,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
3814,CELR,Celer Network,Ethereum,1,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,yes,yes,CelerToken,-,,Transfer-log (free),-,
3822,TFUEL,Theta Fuel,non-EVM,,,no,n/a,,n/a (off Etherscan),,n/a,n/a (off Etherscan),
3835,ORBS,Orbs,Ethereum,1,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,yes,yes,OrbsToken,-,,Transfer-log (free),-,
3840,FST,1irstcoin,Ethereum,1,0x310c93dfc1c5e34cdf51678103f63c41762089cd,yes,yes,MainToken,admin/vesting-lock(not conviction),,Transfer-log (free),-,
3855,LOCUS,Locus Chain,Ethereum,1,0xc64500dd7b0f1794807e67802f8abbf5f8ffb054,yes,yes,LocusToken,-,,Transfer-log (free),-,
3874,IRIS,IRISnet,Ethereum,1,0x76C4A2B59523eaE19594c630aAb43288dBB1463f,yes,yes,IbcToken,-,,Transfer-log (free),-,
3911,OCEAN,Ocean Protocol,Ethereum,1,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,yes,yes,OceanToken,-,,Transfer-log (free),-,
3916,THX,ThoreNext,Ethereum,1,0xf08c68bd5f4194d994fd70726746bf529ee5a617,yes,yes,HumanStandardToken,-,,Transfer-log (free),-,
3928,IDEX,IDEX,Ethereum,1,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,yes,yes,IDEX,-,,Transfer-log (free),-,
