STREAM build: 1 tokens | WORKERS=8 BLOCK_WINDOW=100000 RATE=8.0/s DAILY_CAP=185000
  --- RAIN cmc=38341 chain=42161 START (gl_so_far=0) ---
    RAIN batch 1/587 block<=799,999 tf=0 gl=8 lots=0 2s
    RAIN batch 536/587 block<=428,799,999 tf=1455005 gl=9824 lots=185369 1257s
    RAIN batch 541/587 block<=432,799,999 tf=1902107 gl=11146 lots=191949 1428s
    RAIN batch 546/587 block<=436,799,999 tf=2349994 gl=12802 lots=179071 1640s
    RAIN batch 551/587 block<=440,799,999 tf=2855475 gl=14642 lots=186127 1875s
    RAIN batch 556/587 block<=444,799,999 tf=3248913 gl=16056 lots=177825 2055s
    RAIN batch 561/587 block<=448,799,999 tf=3581290 gl=17174 lots=179014 2199s
    RAIN batch 566/587 block<=452,799,999 tf=3822605 gl=17934 lots=180225 2300s
    RAIN batch 571/587 block<=456,799,999 tf=3951090 gl=18326 lots=181590 2353s
    RAIN batch 576/587 block<=460,799,999 tf=4053741 gl=18654 lots=177829 2397s
    RAIN batch 581/587 block<=464,799,999 tf=4148988 gl=18934 lots=179134 2434s
    RAIN batch 586/587 block<=468,799,999 tf=4284247 gl=19314 lots=181069 2486s
  RAIN     cmc=38341 DONE tf=4284832 gl=19315 code=11/52 scrMo=7 HODLmed=0.0% last=17.2%
aggregate: 306 completed tokens (0 recomputed), 1 deferred -> C:\AFA_2027_QTM_Crypto\03_data\phase1\channel2_holding.csv (9857 rows)

STREAM done: 1 built, 0 skipped, 19315 getLogs; aggregate -> 306 tokens / 9857 rows
