cmc_id,symbol,name,defillama_categories,sector,tags,ambiguous_flag
2202,PRL,Oyster,CDP;Gaming;Yield Aggregator,CDP;Gaming;Yield Aggregator,,True
2223,VEE,BLOCKv,Lending,Lending;NFT,collectibles-nfts;communications-social-media;content-creation;enterprise-solutions;ethereum-ecosystem;media;polygon-ecosystem,True
2239,LEND,Aave,Lending;Onchain Capital Allocator;Yield,Lending;Onchain Capital Allocator;Yield,defi;platform,False
2242,QBT,Qbao,Lending,Lending,marketplace,True
2273,UQC,Uquid Coin,,Payments,asset-management;commodities;defi;defi-2;e-commerce;ethereum-ecosystem;marketplace;payments;token,False
2277,SMT,SmartMesh,Dexs,Dexs;IoT,iot;technology,True
2296,OST,OST,Dexs,Dexs,kinetic-capital;services,True
2308,SAI,Single Collateral DAI ,Derivatives;Onchain Capital Allocator;Yield,Derivatives;Onchain Capital Allocator;Yield,,True
2318,NEU,Neumark,Yield,Yield,asset-management;crowdfunding,True
2320,UTK,xMoney,,Payments;Smart Contract Platform,binance-ecosystem;binance-listing;cybersecurity;defi;elrond-ecosystem;ethereum-ecosystem;multiversx-ecosystem;payments;smart-contracts,False
2324,ONE,BigONE Token,Dexs,Dexs;Exchange Token,binance-smart-chain;bnb-chain;centralized-exchange;marketplace,True
2341,SWFTC,SwftCoin,,NFT;Interoperability;Payments,binance-smart-chain;bnb-chain;bnb-chain-ecosystem;collectibles-nfts;defi;ethereum-ecosystem;interoperability;marketplace;payments,False
2363,ZAP,Zap,Dexs,Dexs,defi;oracles,False
2377,LEV,Leverj,,Derivatives,asset-management;derivatives,False
2410,SPC,SpaceChain,Dexs;Reserve Currency,Dexs;Reserve Currency,ethereum-ecosystem;technology,True
2424,AGIX,SingularityNET,Staking Pool,Staking Pool;AI/Big Data;Payments,ai-big-data;cardano-ecosystem;cross-chain-aggregator-dex;cross-chain-dex-aggregator;generative-ai;marketplace;payments,False
2429,MOBI,Mobius,Dexs,Dexs;IoT;Payments,iot;payments;platform,True
2430,HOT,Hydro Protocol,,DEX,decentralized-exchange;defi;marketplace,False
2496,POLY,Polymath,,RWA,crowdfunding;ethereum-ecosystem;marketplace;real-world-assets,False
2505,BLZ,Bluzelle,,DePIN;Storage;Smart Contract Platform,bnb-chain-ecosystem;cosmos-ecosystem;defi;depin;distributed-computing;dot-ecosystem;ethereum-ecosystem;filesharing;injective-ecosystem;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;platform;polkadot-ecosystem;smart-contracts;storage,False
2530,FSN,Fusion,,Payments,defi;fantom-ecosystem;payments;platform,False
2538,NEC,Nectar,,Payments;Smart Contract Platform,defi;marketplace;payments;smart-contracts,False
2545,ABT,ArcBlock,,AI/Big Data;Interoperability,ai-big-data;defi;ethereum-ecosystem;interoperability;made-in-america;marketplace,False
2559,AUTO,Cube,Yield Aggregator,Yield Aggregator,cybersecurity,True
2576,TEN,Tokenomy,Yield,Yield,marketplace,True
2586,SNX,Synthetix,Derivatives;Synthetics,Derivatives;Synthetics;DEX;Perpetuals;RWA;Yield,alameda-research-portfolio;avalanche-ecosystem;binance-ecosystem;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;celsius-bankruptcy-estate;coinbase-ventures-portfolio;dao;decentralized-exchange;decentralized-exchange-dex-token;defi;defiance-capital;defiance-capital-portfolio;derivatives;dwf-labs-portfolio;ethereum-ecosystem;fantom-ecosystem;framework-ventures;framework-ventures-portfolio;governance;heco-ecosystem;near-protocol-ecosystem;optimism-ecosystem;paradigm-portfolio;parafi-capital;perp-dex-coins;perpetuals;polygon-ecosystem;real-world-assets;real-world-assets-protocols;services;solana-ecosystem;spartan-group;synthetic-protocols;synthetics;three-arrows-capital-portfolio;yield-farming,False
2593,DRG,Dragon Coins,Dexs,Dexs;Payments,media;payments,True
2620,SWTH,Carbon Protocol,,DEX;Derivatives,arbitrum-ecosytem;binance-smart-chain;bnb-chain;cosmos-ecosystem;decentralized-exchange;decentralized-exchange-dex-token;defi;defiance-capital;defiance-capital-portfolio;derivatives;injective-ecosystem;three-arrows-capital-portfolio,False
2662,XHV,Haven Protocol,,Privacy,defi;privacy,False
2663,KST,StarCoin,Dexs,Dexs,,True
2675,DOCK,Dock,,AI/Big Data;Smart Contract Platform,ai-big-data;dot-ecosystem;governance;jobs;polkadot-ecosystem;services;smart-contracts;substrate,False
2693,LRN,Loopring [NEO],,DEX,decentralized-exchange;defi;marketplace,False
2700,CEL,Celsius,Yield Aggregator,Yield Aggregator,exnetwork-capital-portfolio;lending-borowing,False
2726,GEN,DAOstack,Farm,Farm,dao;platform,False
2765,XYO,XYO,,DePIN;Gaming;Metaverse,alleged-sec-securities;defi;depin;distributed-computing;ethereum-ecosystem;gaming;logistics;made-in-america;metaverse;move-to-earn;oracles;play-to-earn;solana-ecosystem;web3,False
2772,DGTX,Digitex,,Exchange Token;Derivatives,asset-management;centralized-exchange;derivatives,False
2778,EXC,Eximchain,Dexs,Dexs,,True
2826,ZIP,Zipper,Dexs,Dexs,,True
2873,MET,Metronome,Dexs;Launchpad;Synthetics;Yield;Yield Aggregator,Dexs;Launchpad;Synthetics;Yield;Yield Aggregator;Payments,defi;payments;platform;wallet,False
2930,IQ,IQ,Services,Services;AI Agents;AI/Big Data;Yield,ai-agents;ai-big-data;arbitrum-ecosystem;binance-ecosystem;binance-listing;communications-social-media;content-creation;dao;defi;eos;eos-ecosystem;ethereum-ecosystem;loyalty;media;olympus-pro-ecosystem;polygon-ecosystem;yield-farming,False
2933,BMX,BitMart Token,CEX;Derivatives;Dexs,CEX;Derivatives;Dexs;Exchange Token,centralized-exchange;ethereum-ecosystem;marketplace,True
2937,VITE,VITE,,DAG;DEX,binance-smart-chain;bnb-chain;dag;decentralized-exchange;decentralized-exchange-dex-token;enterprise-solutions;multiple-algorithms;platform;scaling,False
2945,BOX,ContentBox,Dexs;Indexes,Dexs;Indexes,,True
2982,MVL,MVL,Yield,Yield;DePIN;IoT,binance-chain;binance-smart-chain;bnb-chain-ecosystem;depin;dwf-labs-portfolio;ethereum-ecosystem;iot;toncoin-ecosystem,True
3053,YOU,YOU COIN,Dexs;Synthetics,Dexs;Synthetics,content-creation;marketplace,True
3083,LINA,LINA,Derivatives,Derivatives,enterprise-solutions;services,True
3139,DX,DxChain Token,Launchpad,Launchpad;AI/Big Data;Payments,ai-big-data;payments;technology,True
3155,QNT,Quant,,Interoperability;RWA,binance-ecosystem;binance-listing;defi;ethereum-ecosystem;interoperability;iso-20022;platform;real-world-assets;real-world-assets-protocols,False
3296,MIN,MINDOL,DEX Aggregator;Dexs,DEX Aggregator;Dexs,,True
3325,ROX,Robotina,Dexs,Dexs;IoT,energy;iot,True
3367,CRD,CryptalDash,Lending,Lending,,True
3418,META,Metadium,Dexs;Reserve Currency;Yield,Dexs;Reserve Currency;Yield;Identity,arrington-xrp-capital;ethereum-ecosystem;identity;kenetic-capital-portfolio;kinetic-capital;kinetic-capital-portfolio;platform,True
3475,BOX,BOX Token,Dexs;Indexes,Dexs;Indexes,,True
3515,DEX,DEX,Dexs,Dexs,,True
3637,AERGO,Aergo,,Smart Contract Platform,binance-ecosystem;binance-listing;bnb-chain-ecosystem;defi;enterprise-solutions;ethereum-ecosystem;platform;smart-contracts,False
3653,BRC,Baer Chain,Yield,Yield,,True
3748,HXRO,Hxro,Derivatives,Derivatives,alameda-research-portfolio;cms-holdings-portfolio;coinfund-portfolio;ledgerprime-portfolio;solana-ecosystem;three-arrows-capital-portfolio,True
3792,USDE,USDe,Derivatives,Derivatives,,True
3814,CELR,Celer Network,Bridge,Bridge;DePIN;Interoperability;Privacy;Zero Knowledge,arbitrum-ecosystem;arbitrum-ecosytem;arrington-xrp-capital;arrington-xrp-capital-portfolio;binance-ecosystem;binance-launchpad;binance-listing;binance-smart-chain;bnb-chain;bnb-chain-ecosystem;cross-chain;defi;depin;dot-ecosystem;enterprise-solutions;ethereum-ecosystem;interoperability;metis-andromeda-ecosystem;moonbeam-ecosystem;oasis-ecosystem;pantera-capital-portfolio;platform;polkadot;polkadot-ecosystem;privacy;scaling;sei-ecosystem;state-channel;state-channels;substrate;zero-knowledge-proofs,False
