cmc_id,symbol,asset_class,month_end,ym,lambda_z,n_channels,channels,raw_ch1_staking,raw_ch2_holding,raw_ch3_delegation,raw_ch3_voting
1888,IFT,other,2018-01-31,2018-01,-0.432373016832643,1,ch2_holding,,0.103703038282107,,
1896,ZRX,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
1905,TFL,other,2018-01-31,2018-01,-0.6669386362591327,1,ch2_holding,,0.0385032094584885,,
1995,TGT,other,2018-01-31,2018-01,0.011724920362858693,1,ch2_holding,,0.227144442682563,,
2015,ATM,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2040,ALIS,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2064,ART,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2069,OTN,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2082,ICOS,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2110,DOV,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2191,PAYX,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2202,PRL,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2223,VEE,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2296,OST,token,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
2298,DTR,other,2018-01-31,2018-01,-0.8054593860753744,1,ch2_holding,,0.0,,
939,GAM,other,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
1153,CRB,other,2018-02-28,2018-02,0.09945613798362676,1,ch2_holding,,0.3186640810705129,,
1481,NXC,other,2018-02-28,2018-02,1.636146371351085,1,ch2_holding,,0.7598809988573625,,
1483,VSL,other,2018-02-28,2018-02,0.3227275099486539,1,ch2_holding,,0.3827701087066593,,
1494,BPC,other,2018-02-28,2018-02,2.3779491561263324,1,ch2_holding,,0.9728685816488596,,
1500,WINGS,token,2018-02-28,2018-02,-0.41797756939086095,1,ch2_holding,,0.1700977008271095,,
1660,TKN,token,2018-02-28,2018-02,1.055406335322205,1,ch2_holding,,0.5931380059181893,,
1667,UNY,other,2018-02-28,2018-02,2.23765481530508,1,ch2_holding,,0.9325870497590886,,
1677,DICE,other,2018-02-28,2018-02,-0.7236244769194573,1,ch2_holding,,0.0823398798020297,,
1683,RLT,other,2018-02-28,2018-02,1.9966732688292455,1,ch2_holding,,0.8633960489504362,,
1709,QAU,other,2018-02-28,2018-02,0.9972188198003836,1,ch2_holding,,0.5764311149034969,,
1727,BNT,token,2018-02-28,2018-02,-0.16428696784308452,1,ch2_holding,,0.2429377455257186,,
1732,NMR,token,2018-02-28,2018-02,1.1262741901372675,1,ch2_holding,,0.6134856959032736,,
1758,PAY,token,2018-02-28,2018-02,-0.14717262863810926,1,ch2_holding,,0.2478516415276672,,
1775,ADT,other,2018-02-28,2018-02,0.1822841538006733,1,ch2_holding,,0.3424457913018025,,
1812,XRL,other,2018-02-28,2018-02,0.30342900595116656,1,ch2_holding,,0.3772290918727009,,
1815,MBRS,other,2018-02-28,2018-02,0.3580478833711302,1,ch2_holding,,0.3929113499003352,,
1847,MSP,token,2018-02-28,2018-02,0.32746342872371725,1,ch2_holding,,0.3841298931573246,,
1873,TIX,other,2018-02-28,2018-02,0.01154968429720922,1,ch2_holding,,0.2934242417672465,,
1882,CAT,token,2018-02-28,2018-02,-0.6275433105097074,1,ch2_holding,,0.1099268554853314,,
1888,IFT,other,2018-02-28,2018-02,0.4992957580535718,1,ch2_holding,,0.4334666619327165,,
1896,ZRX,token,2018-02-28,2018-02,-0.44953935326300176,1,ch2_holding,,0.1610356317792673,,
1905,TFL,other,2018-02-28,2018-02,0.03980814853474025,1,ch2_holding,,0.3015378564838255,,
1995,TGT,other,2018-02-28,2018-02,0.07026604509958799,1,ch2_holding,,0.3102829756710308,,
2015,ATM,token,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2040,ALIS,other,2018-02-28,2018-02,-1.0074910685335332,1,ch2_holding,,0.0008356573536584,,
2064,ART,other,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2069,OTN,other,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2082,ICOS,other,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2110,DOV,token,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2202,PRL,token,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2223,VEE,token,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2296,OST,token,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
2298,DTR,other,2018-02-28,2018-02,-1.0104015337537924,1,ch2_holding,,0.0,,
939,GAM,other,2018-03-31,2018-03,1.5558593918054062,1,ch2_holding,,0.7401412353335067,,
1153,CRB,other,2018-03-31,2018-03,0.2837280792803385,1,ch2_holding,,0.3891700097532728,,
1481,NXC,other,2018-03-31,2018-03,1.6785736933067041,1,ch2_holding,,0.7739971654329273,,
