cmc_id,symbol,name,asset_class,sector,staking_start,dl_slug,dl_category,token_address,token_chain,token_chains,snapshot_space,gecko_id,dl_matched,n_dl_entries,has_address,has_snapshot
1358,EDC,EDC Blockchain v1 [old],coin,,,,,,,,,,False,0,False,False
234,EFL,e-Gulden,coin,,,,,,,,,,False,0,False,False
1148,EGC,EverGreenCoin,coin,,,,,,,,,,False,0,False,False
6892,EGLD,MultiversX,coin,AI/Big Data;DePIN;Gaming;Identity;Layer-1;Metaverse;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
2453,EKT,EDUCare,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
2492,ELA,Elastos,coin,DePIN;Storage,,,,,,,,,False,0,False,False
2299,ELF,aelf,coin,Algo-Stables;Interoperability;Layer-1;Smart Contract Platform,,,,,,,,,False,0,False,False
558,EMC,Emercoin,coin,,,,,,,,,,False,0,False,False
201,EMC2,Einsteinium,coin,,,,,,,,,,False,0,False,False
2130,ENJ,Enjin Coin,coin,NFT;Gaming;Layer-1;Metaverse,,,,,,,,,False,0,False,False
322,ENRG,Energycoin,coin,,,,,,,,,,False,0,False,False
1765,EOS,EOS,coin,Lending;Payments;Smart Contract Platform,,,,,,,,,False,0,False,False
964,ERC,EuropeCoin,coin,,,,,,,,,,False,0,False,False
1762,ERG,Ergo,coin,Layer-1;Privacy;Smart Contract Platform,,,,,,,,,False,0,False,False
1238,ESP,Espers,coin,Payments,,,,,,,,,False,0,False,False
1321,ETC,Ethereum Classic,coin,Layer-1;Smart Contract Platform,,,,,,,,,False,0,False,False
1027,ETH,Ethereum,coin,Foundation;Layer-1;Payments;Smart Contract Platform,2020-12-01,ethereum-foundation,Foundation,,,,,ethereum,True,1,False,False
29814,ETHFI,ether.fi,coin,Crypto Card Issuer;Lending;Liquid Restaking;Onchain Capital Allocator,,,,,,,,,False,0,False,False
21296,ETHW,EthereumPoW,coin,,,,,,,,,,False,0,False,False
2137,ETN,Electroneum,coin,Layer-1;Payments,,,,,,,,,False,0,False,False
1703,ETP,Metaverse ETP,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
2843,ETZ,Ether Zero,coin,,,,,,,,,,False,0,False,False
7505,EVER,Everscale,coin,Layer-1,,,,,,,,,False,0,False,False
2526,EVN,Envion,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
2034,EVX,Everex,coin,Smart Contract Platform,,,,,,,,,False,0,False,False
96,EXC,Extremecoin,coin,Dexs,,,,,,,,,False,0,False,False
633,EXCL,ExclusiveCoin,coin,,,,,,,,,,False,0,False,False
185,EXE,Execoin,coin,,,,,,,,,,False,0,False,False
1070,EXP,Expanse,coin,,,,,,,,,,False,0,False,False
381,FC2,FuelCoin,coin,,,,,,,,,,False,0,False,False
370,FCN,Fantomcoin,coin,,,,,,,,,,False,0,False,False
2870,FGC,FantasyGold,coin,,,,,,,,,,False,0,False,False
2280,FIL,Filecoin,coin,Chain;AI/Big Data;DePIN;Storage;Layer-1,,filecoin,Chain,,,,,filecoin,True,1,False,False
1414,FIRO,Firo,coin,Payments;Privacy;Zero Knowledge,,,,,,,,,False,0,False,False
152,FLAP,FlappyCoin,coin,,,,,,,,,,False,0,False,False
4842,FLG,Folgory Coin,coin,,,,,,,,,,False,0,False,False
4558,FLOW,Flow,coin,Chain;Dexs;NFT;Layer-1,,flow,Chain,,,,,flow,True,1,False,False
7950,FLR,Flare,coin,Chain;Layer-1,,flare,Chain,,,,,flare-networks,True,1,False,False
218,FLT,FlutterCoin,coin,Derivatives,,,,,,,,,False,0,False,False
3029,FLUX,Flux,coin,Lending;AI/Big Data;DePIN;Storage;Interoperability;Privacy;Smart Contract Platform,,,,,,,,,False,0,False,False
4058,FO,FIBOS,coin,,,,,,,,,,False,0,False,False
10,FRC,Freicoin,coin,,,,,,,,,,False,0,False,False
3388,FREE,FREEdom Coin,coin,Dexs;Payments,,,,,,,,,False,0,False,False
32,FST,Fastcoin,coin,Derivatives,,,,,,,,,False,0,False,False
8,FTC,Feathercoin,coin,NFT;Payments,,,,,,,,,False,0,False,False
